season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht
2014 - 2015,English Premier League,2014-08-17,Liverpool,FC Southampton,True,2,2,4-3-3,12,5,5,0,0,12,8,2,2,1,0,770,452,V,51,4,3,5,58%,1897.86303711,1717,180.86303711000005,7,2,1,1,0,V,V
2014 - 2015,English Premier League,2014-08-25,Manchester City,Liverpool,False,1,0,4-3-3,11,3,1,0,0,16,7,1,7,1,0,709,446,D,92,2,1,6,46%,1897.79125977,1954,-56.2087402300001,8,1,0,3,1,D,D
2014 - 2015,English Premier League,2014-08-31,Tottenham Hotspur,Liverpool,False,3,1,4-4-2,17,8,1,1,1,8,11,1,3,4,0,516,243,V,56,1,0,6,39%,1890.76953125,1807,83.76953125,6,3,1,0,0,V,V
2014 - 2015,English Premier League,2014-09-13,Liverpool,Aston Villa,True,0,0,4-2-3-1,18,1,0,0,0,22,9,3,7,2,0,898,618,D,45,0,0,12,65%,1902.55236816,1630,272.55236816,13,0,0,1,1,D,D
2014 - 2015,English Premier League,2014-09-20,West Ham United,Liverpool,False,1,0,4-3-3,11,5,4,0,0,17,11,0,5,1,0,733,393,D,87,5,2,12,57%,1883.68005371,1648,235.68005371000004,4,1,1,3,2,D,D
2014 - 2015,English Premier League,2014-09-27,Liverpool,Everton FC,True,1,0,4-3-3,24,8,4,0,0,20,8,2,8,2,0,693,365,N,86,5,3,10,46%,1866.01416016,1804,62.014160160000074,7,1,0,1,0,N,N
2014 - 2015,English Premier League,2014-10-04,Liverpool,West Bromwich Albion FC,True,2,2,4-2-3-1,19,7,3,0,0,21,12,3,5,2,0,545,223,V,39,8,2,6,42%,1847.27001953,1632,215.2700195299999,3,2,1,1,0,V,V
2014 - 2015,English Premier League,2014-10-19,Queens Park Rangers,Liverpool,False,3,1,4-2-3-1,15,5,4,0,0,9,15,2,2,3,0,784,376,V,109,7,0,12,52%,1849.68725586,1547,302.68725586000005,15,3,0,2,0,V,N
2014 - 2015,English Premier League,2014-10-25,Liverpool,Hull City,True,0,0,4-3-3,18,4,3,0,0,29,12,1,14,3,0,747,441,N,24,5,2,22,62%,1843.09118652,1578,265.09118652000006,3,0,0,0,0,N,N
2014 - 2015,English Premier League,2014-11-01,Newcastle United FC,Liverpool,False,0,0,4-3-3,6,3,1,0,0,18,8,7,2,3,0,813,483,D,77,9,0,10,60%,1835.81103516,1634,201.81103516000007,4,0,0,1,0,D,N
