Date,Comp,Venue,Result,GF,GA,Opponent,Attendance
2015-08-09,Premier League,Away,W,1,0,Stoke City,27654
2015-08-17,Premier League,Home,W,1,0,Bournemouth,44102
2015-08-24,Premier League,Away,D,0,0,Arsenal,60080
2015-08-29,Premier League,Home,L,0,3,West Ham,43680
2015-09-12,Premier League,Away,L,1,3,Manchester Utd,75347
2015-09-17,Europa Lg,Away,D,1,1,fr Bordeaux,35328
2015-09-20,Premier League,Home,D,1,1,Norwich City,44072
2015-09-23,League Cup,Home,W,1 (3),1 (2),Carlisle United,42518
2015-09-26,Premier League,Home,W,3,2,Aston Villa,44228
2015-10-01,Europa Lg,Home,D,1,1,ch Sion,37252
2015-10-04,Premier League,Away,D,1,1,Everton,39598
2015-10-17,Premier League,Away,D,0,0,Tottenham,35926
2015-10-22,Europa Lg,Home,D,1,1,ru Rubin Kazan,42951
2015-10-25,Premier League,Home,D,1,1,Southampton,44171
2015-10-28,League Cup,Home,W,1,0,Bournemouth,41948
2015-10-31,Premier League,Away,W,3,1,Chelsea,41577
2015-11-05,Europa Lg,Away,W,1,0,ru Rubin Kazan,41585
2015-11-08,Premier League,Home,L,1,2,Crystal Palace,44115
2015-11-21,Premier League,Away,W,4,1,Manchester City,54444
2015-11-26,Europa Lg,Home,W,2,1,fr Bordeaux,42525
2015-11-29,Premier League,Home,W,1,0,Swansea City,43905
2015-12-02,League Cup,Away,W,6,1,Southampton,31592
2015-12-06,Premier League,Away,L,0,2,Newcastle Utd,51273
2015-12-10,Europa Lg,Away,D,0,0,ch Sion,10000
2015-12-13,Premier League,Home,D,2,2,West Brom,44147
2015-12-20,Premier League,Away,L,0,3,Watford,20707
2015-12-26,Premier League,Home,W,1,0,Leicester City,44123
2015-12-30,Premier League,Away,W,1,0,Sunderland,45765
2016-01-02,Premier League,Away,L,0,2,West Ham,34977
2016-01-05,League Cup,Away,W,1,0,Stoke City,27369
2016-01-08,FA Cup,Away,D,2,2,Exeter City,8298
2016-01-13,Premier League,Home,D,3,3,Arsenal,44109
2016-01-17,Premier League,Home,L,0,1,Manchester Utd,43865
2016-01-20,FA Cup,Home,W,3,0,Exeter City,43292
2016-01-23,Premier League,Away,W,5,4,Norwich City,27108
2016-01-26,League Cup,Home,D,0 (6),1 (5),Stoke City,43091
2016-01-30,FA Cup,Home,D,0,0,West Ham,44006
2016-02-02,Premier League,Away,L,0,2,Leicester City,32121
2016-02-06,Premier League,Home,D,2,2,Sunderland,44179
2016-02-09,FA Cup,Away,L,1,2,West Ham,34433
2016-02-14,Premier League,Away,W,6,0,Aston Villa,35798
2016-02-18,Europa Lg,Away,D,0,0,de Augsburg,25000
2016-02-25,Europa Lg,Home,W,1,0,de Augsburg,43081
2016-02-28,League Cup,Home,L,1 (1),1 (3),Manchester City,86206
2016-03-02,Premier League,Home,W,3,0,Manchester City,43597
2016-03-06,Premier League,Away,W,2,1,Crystal Palace,24709
2016-03-10,Europa Lg,Home,W,2,0,eng Manchester Utd,43228
2016-03-17,Europa Lg,Away,D,1,1,eng Manchester Utd,75180
2016-03-20,Premier League,Away,L,2,3,Southampton,31596
2016-04-02,Premier League,Home,D,1,1,Tottenham,44062
2016-04-07,Europa Lg,Away,D,1,1,de Dortmund,65848
2016-04-10,Premier League,Home,W,4,1,Stoke City,43688
2016-04-14,Europa Lg,Home,W,4,3,de Dortmund,42954
2016-04-17,Premier League,Away,W,2,1,Bournemouth,11386
2016-04-20,Premier League,Home,W,4,0,Everton,43854
2016-04-23,Premier League,Home,D,2,2,Newcastle Utd,43837
2016-04-28,Europa Lg,Away,L,0,1,es Villarreal,21606
2016-05-01,Premier League,Away,L,1,3,Swansea City,20972
2016-05-05,Europa Lg,Home,W,3,0,es Villarreal,43074
2016-05-08,Premier League,Home,W,2,0,Watford,43341
2016-05-11,Premier League,Home,D,1,1,Chelsea,43210
2016-05-15,Premier League,Away,D,1,1,West Brom,26196
2016-05-18,Europa Lg,Home,L,1,3,es Sevilla,34429
