Saison,Joueur,Equipe,Prix
2016/2017,Sadio Mane,Southampton,Ä41.20m
2016/2017,Georginio Wijnaldum,Newcastle,Ä27.50m
2016/2017,Loris Karius,1.FSV Mainz 05,Ä6.20m
2016/2017,Ragnar Klavan,FC Augsburg,Ä5.00m
2016/2017,Joel Matip,FC Schalke 04,Free transfer
2016/2017,Alexander Manninger,FC Augsburg,Free transfer
2016/2017,Lazar Markovic,Sporting CP,End of loan
2016/2017,Ben Woodburn,Liverpool U18,-
2016/2017,Danny Ward,Huddersfield,End of loan
2016/2017,Jon Flanagan,Burnley,End of loan
2016/2017,Lazar Markovic,Hull City,End of loan
2016/2017,Mamadou Sakho,Crystal Palace,End of loan
2016/2017,Ovie Ejaria,Liverpool U18,-
2016/2017,Trent Alexander-Arnold,Liverpool U18,-
2016/2017,√Åd√°m Bogd√°n,Wigan,End of loan
