season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht
2017 - 2018,English Premier League,2017-08-12,Watford,Liverpool,False,3,2,4-3-3,14,5,1,1,1,16,8,1,3,3,0,1351,370,N,6,23,1,14,52%,1835.66101074,1602,233.66101073999994,7,3,1,3,2,N,D
2017 - 2018,English Premier League,2017-08-19,Liverpool,Crystal Palace FC,True,1,0,4-3-3,23,13,1,0,0,30,12,2,4,1,0,1936,623,V,4,9,6,14,64%,1843.015625,1621,222.015625,4,1,0,0,0,V,N
2017 - 2018,English Premier League,2017-08-27,Liverpool,Arsenal FC,True,4,3,4-3-3,18,10,0,0,0,20,6,3,4,2,0,1475,438,V,7,21,2,18,51%,1851.50878906,1844,7.508789060000026,4,4,2,0,0,V,V
2017 - 2018,English Premier League,2017-09-09,Manchester City,Liverpool,False,0,0,4-3-3,7,3,5,0,0,11,9,2,3,2,1,1031,317,D,9,17,5,12,38%,1863.06335449,1874,-10.936645510000062,13,0,0,5,2,D,D
2017 - 2018,English Premier League,2017-09-16,Liverpool,Burnley FC,True,1,1,4-3-3,35,9,2,0,0,47,7,1,12,1,0,2023,616,N,1,15,4,5,65%,1849.14086914,1654,195.14086913999995,3,1,1,1,1,N,N
2017 - 2018,English Premier League,2017-09-23,Leicester City,Liverpool,False,3,2,4-3-3,23,6,5,0,0,18,14,1,6,3,0,1324,365,V,3,13,2,11,53%,1842.63708496,1712,130.63708496000004,4,3,2,2,1,V,V
2017 - 2018,English Premier League,2017-10-01,Newcastle United FC,Liverpool,False,1,0,4-3-3,17,2,4,0,0,30,6,2,5,1,0,1776,553,N,5,11,6,13,65%,1854.91076659999,1647,207.91076659998998,5,1,1,1,1,N,N
2017 - 2018,English Premier League,2017-10-14,Liverpool,Manchester United,True,0,0,4-3-3,19,5,1,0,0,34,7,3,7,0,0,1783,540,N,7,18,1,9,59%,1850.99987793,1917,-66.00012207000009,13,0,0,0,0,N,N
2017 - 2018,English Premier League,2017-10-22,Tottenham Hotspur,Liverpool,False,1,1,4-3-3,12,7,1,0,0,33,8,2,5,1,0,1773,563,D,1,18,5,22,60%,1858.93884277,1927,-68.06115722999994,5,1,1,4,3,D,D
2017 - 2018,English Premier League,2017-10-28,Liverpool,Huddersfield Town,True,3,2,4-3-3,16,8,0,1,0,27,10,0,9,0,0,1937,696,V,3,9,4,15,64%,1850.83435059,1541,309.83435059,6,3,0,0,0,V,N
2017 - 2018,English Premier League,2017-11-04,West Ham United,Liverpool,False,4,2,4-3-3,15,7,0,0,0,10,13,1,3,0,0,1364,402,V,4,21,4,17,52%,1854.05456543,1657,197.0545654299999,3,4,2,1,0,V,V
2017 - 2018,English Premier League,2017-11-18,Liverpool,FC Southampton,True,3,2,4-3-3,21,8,0,0,0,24,15,2,10,1,0,1540,491,V,1,13,3,13,62%,1861.9329834,1681,180.9329834,14,3,2,0,0,V,V
2017 - 2018,English Premier League,2017-11-25,Liverpool,Chelsea,True,1,1,4-3-3,16,4,2,0,0,22,10,0,7,0,0,1668,535,N,9,22,3,15,55%,1856.26062012,1919,-62.73937987999989,4,1,0,1,0,N,N
2017 - 2018,English Premier League,2017-11-29,Stoke City FC,Liverpool,False,3,2,4-3-3,14,7,1,0,0,21,10,2,9,5,0,1500,463,V,4,25,2,9,58%,1856.23876953,1659,197.2387695299999,4,3,1,0,0,V,V
2017 - 2018,English Premier League,2017-12-02,Brighton & Hove Albion,Liverpool,False,5,3,4-3-3,12,6,1,0,0,14,7,2,2,0,0,1799,600,V,8,12,2,8,56%,1864.15441895,1623,241.15441895000004,3,5,2,1,0,V,V
2017 - 2018,English Premier League,2017-12-10,Liverpool,Everton FC,True,1,1,4-3-3,23,3,1,0,0,52,8,1,12,1,0,2176,674,N,1,16,5,9,79%,1881.17480469,1684,197.17480468999997,4,1,1,1,0,N,V
2017 - 2018,English Premier League,2017-12-13,Liverpool,West Bromwich Albion FC,True,0,0,4-3-3,13,4,1,0,0,21,16,1,5,1,0,2204,642,N,2,19,9,19,64%,1874.81555176,1624,250.81555176000006,3,0,0,0,0,N,N
2017 - 2018,English Premier League,2017-12-17,AFC Bournemouth,Liverpool,False,4,4,4-3-3,21,7,2,0,0,21,10,4,3,1,0,1741,600,V,3,21,4,10,55%,1867.63293457,1648,219.6329345700001,4,4,3,0,0,V,V
2017 - 2018,English Premier League,2017-12-22,Arsenal FC,Liverpool,False,3,2,4-2-3-1,14,9,1,0,0,27,11,1,8,0,0,1226,351,N,12,22,8,16,49%,1875.73974609,1840,35.739746089999926,5,3,1,3,0,N,V
2017 - 2018,English Premier League,2017-12-26,Liverpool,Swansea City,True,5,3,4-3-3,22,9,4,0,0,24,5,3,4,0,0,1727,540,V,6,15,4,13,58%,1876.42639159999,1609,267.42639159999,4,5,1,0,0,V,V
2017 - 2018,English Premier League,2017-12-30,Liverpool,Leicester City,True,2,2,4-3-3,17,6,0,0,0,28,7,5,7,3,0,1616,491,V,4,19,4,14,62%,1880.34729004,1727,153.34729003999996,4,2,0,1,1,V,D
2017 - 2018,English Premier League,2018-01-01,Burnley FC,Liverpool,False,2,1,4-3-3,18,5,3,0,0,27,12,2,9,0,0,1593,447,V,2,19,6,10,61%,1883.5213623,1694,189.52136229999996,2,2,0,1,0,V,N
2017 - 2018,English Premier League,2018-01-14,Liverpool,Manchester City,True,4,3,4-3-3,16,7,1,0,0,17,10,3,5,2,0,1138,304,V,6,22,4,26,39%,1888.36022949,1980,-91.63977051000006,9,4,1,3,1,V,N
2017 - 2018,English Premier League,2018-01-22,Swansea City,Liverpool,False,0,0,4-3-3,21,4,1,0,0,34,9,1,9,2,0,2010,683,D,0,8,8,14,70%,1897.25512695,1613,284.25512695,8,0,0,1,1,D,D
2017 - 2018,English Premier League,2018-01-30,Huddersfield Town,Liverpool,False,3,1,4-3-3,14,7,1,1,1,23,8,2,4,0,0,2234,834,V,2,9,6,10,74%,1883.71899414,1538,345.71899413999995,3,3,2,0,0,V,V
2017 - 2018,English Premier League,2018-02-04,Liverpool,Tottenham Hotspur,True,2,0,4-3-3,9,3,4,0,0,18,15,2,3,3,0,948,210,N,3,27,7,8,40%,1887.24829102,1919,-31.751708980000103,5,2,1,2,0,N,V
2017 - 2018,English Premier League,2018-02-11,FC Southampton,Liverpool,False,2,2,4-3-3,16,4,4,0,0,10,8,0,1,2,0,1348,411,V,3,14,4,10,48%,1886.68078613,1666,220.6807861299999,7,2,2,0,0,V,V
2017 - 2018,English Premier League,2018-02-24,Liverpool,West Ham United,True,4,4,4-3-3,21,12,3,0,0,35,7,1,8,0,0,1834,641,V,3,10,8,26,61%,1912.05175781,1670,242.05175781000003,10,4,1,1,0,V,V
2017 - 2018,English Premier League,2018-03-03,Liverpool,Newcastle United FC,True,2,2,4-3-3,14,3,2,0,0,20,7,4,8,0,0,1893,685,V,3,16,5,8,66%,1915.40930176,1644,271.40930176000006,7,2,1,0,0,V,V
2017 - 2018,English Premier League,2018-03-10,Manchester United,Liverpool,False,1,0,4-3-3,14,2,0,0,0,37,16,0,13,1,0,1776,513,D,3,9,3,19,62%,1914.3260498,1904,10.326049799999964,4,1,0,2,2,D,D
