Player,Pos,Age,90s,SCA,SCA90,Def,GCA,GCA90,Def
Roberto Firmino\Roberto-Firmino,FW,25,44.4,121,3.92,4,14,0.45,0
Mohamed Salah\Mohamed-Salah,FWMF,25,43.6,151,4.65,2,30,0.92,0
Georginio Wijnaldum\Georginio-Wijnaldum,MF,26,38.0,51,1.92,1,6,0.23,0
Sadio Mané\Sadio-Mane,FWMF,25,36.5,85,3.47,1,9,0.37,0
Dejan Lovren\Dejan-Lovren,DF,28,35.3,19,0.81,0,2,0.08,0
Jordan Henderson\Jordan-Henderson,MF,27,35.1,59,2.44,1,4,0.17,0
Loris Karius\Loris-Karius,GK,24,33.0,1,0.05,0,0,0.00,0
Emre Can\Emre-Can,MF,23,30.9,59,2.54,0,10,0.43,0
James Milner\James-Milner,MF,31,30.6,77,3.93,2,6,0.31,0
Andrew Robertson\Andrew-Robertson,DF,23,29.6,48,2.22,0,7,0.32,0
Joël Matip\Joel-Matip,DF,25,29.4,20,0.90,1,0,0.00,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,18,27.7,39,2.23,0,2,0.11,0
Joe Gomez\Joe-Gomez,DF,20,27.1,24,1.14,0,2,0.09,0
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,MFFW,23,22.9,70,4.24,3,16,0.97,2
Virgil van Dijk\Virgil-van-Dijk,DF,26,22.0,11,0.79,1,0,0.00,0
Alberto Moreno\Alberto-Moreno,DF,25,21.3,31,2.21,1,3,0.21,0
Ragnar Klavan\Ragnar-Klavan,DF,31,20.4,13,0.81,0,2,0.12,0
Simon Mignolet\Simon-Mignolet,GK,29,20.0,2,0.11,0,0,0.00,0
Philippe Coutinho\Philippe-Coutinho,MFFW,25,16.7,78,6.29,2,14,1.13,1
Dominic Solanke\Dominic-Solanke,FW,19,8.2,28,4.33,0,2,0.31,0
Adam Lallana\Adam-Lallana,MFFW,29,5.8,16,6.13,0,1,0.38,0
Daniel Sturridge\Daniel-Sturridge,FW,27,5.7,22,4.59,0,1,0.21,0
Danny Ings\Danny-Ings,FW,25,4.1,6,2.04,0,1,0.34,0
Nathaniel Clyne\Nathaniel-Clyne,DFMF,26,2.0,2,1.03,0,0,0.00,0
Marko Grujić\Marko-Grujic,MF,21,1.2,1,6.92,0,0,0.00,0
Jon Flanagan\Jon-Flanagan,DF,24,1.0,,,,,,
Danny Ward\Danny-Ward,GK,24,1.0,,,,,,
Ben Woodburn\Ben-Woodburn,MF,17,0.6,0,0.00,0,0,0.00,0
Divock Origi\Divock-Origi,FW,22,0.1,0,0.00,0,0,0.00,0
