Date,Comp,Venue,Result,GF,GA,Opponent,SCA,GCA
2017-08-12,Premier League,Away,D,3,3,Watford,21,5
2017-08-15,Champions Lg,Away,W,2,1,de Hoffenheim,,
2017-08-19,Premier League,Home,W,1,0,Crystal Palace,42,0
2017-08-23,Champions Lg,Home,W,4,2,de Hoffenheim,,
2017-08-27,Premier League,Home,W,4,0,Arsenal,29,6
2017-09-09,Premier League,Away,L,0,5,Manchester City,11,0
2017-09-13,Champions Lg,Home,D,2,2,es Sevilla,,
2017-09-16,Premier League,Home,D,1,1,Burnley,64,2
2017-09-19,EFL Cup,Away,L,0,2,Leicester City,,
2017-09-23,Premier League,Away,W,3,2,Leicester City,40,6
2017-09-26,Champions Lg,Away,D,1,1,ru Spartak Moscow,,
2017-10-01,Premier League,Away,D,1,1,Newcastle Utd,25,0
2017-10-14,Premier League,Home,D,0,0,Manchester Utd,34,0
2017-10-17,Champions Lg,Away,W,7,0,si NK Maribor,,
2017-10-22,Premier League,Away,L,1,4,Tottenham,16,2
2017-10-28,Premier League,Home,W,3,0,Huddersfield,26,3
2017-11-01,Champions Lg,Home,W,3,0,si NK Maribor,,
2017-11-04,Premier League,Away,W,4,1,West Ham,23,5
2017-11-18,Premier League,Home,W,3,0,Southampton,34,5
2017-11-21,Champions Lg,Away,D,3,3,es Sevilla,,
2017-11-25,Premier League,Home,D,1,1,Chelsea,25,1
2017-11-29,Premier League,Away,W,3,0,Stoke City,21,3
2017-12-02,Premier League,Away,W,5,1,Brighton,22,9
2017-12-06,Champions Lg,Home,W,7,0,ru Spartak Moscow,,
2017-12-10,Premier League,Home,D,1,1,Everton,45,2
2017-12-13,Premier League,Home,D,0,0,West Brom,22,0
2017-12-17,Premier League,Away,W,4,0,Bournemouth,36,8
2017-12-22,Premier League,Away,D,3,3,Arsenal,22,6
2017-12-26,Premier League,Home,W,5,0,Swansea City,36,6
2017-12-30,Premier League,Home,W,2,1,Leicester City,25,4
2018-01-01,Premier League,Away,W,2,1,Burnley,30,4
2018-01-05,FA Cup,Home,W,2,1,Everton,,
2018-01-14,Premier League,Home,W,4,3,Manchester City,22,5
2018-01-22,Premier League,Away,L,0,1,Swansea City,31,0
2018-01-27,FA Cup,Home,L,2,3,West Brom,,
2018-01-30,Premier League,Away,W,3,0,Huddersfield,23,4
2018-02-04,Premier League,Home,D,2,2,Tottenham,11,2
2018-02-11,Premier League,Away,W,2,0,Southampton,22,4
2018-02-14,Champions Lg,Away,W,5,0,pt Porto,,
2018-02-24,Premier League,Home,W,4,1,West Ham,36,8
2018-03-03,Premier League,Home,W,2,0,Newcastle Utd,21,3
2018-03-06,Champions Lg,Home,D,0,0,pt Porto,,
2018-03-10,Premier League,Away,L,1,2,Manchester Utd,26,2
2018-03-17,Premier League,Home,W,5,0,Watford,16,8
2018-03-31,Premier League,Away,W,2,1,Crystal Palace,27,4
2018-04-04,Champions Lg,Home,W,3,0,eng Manchester City,,
2018-04-07,Premier League,Away,D,0,0,Everton,17,0
2018-04-10,Champions Lg,Away,W,2,1,eng Manchester City,,
2018-04-14,Premier League,Home,W,3,0,Bournemouth,36,5
2018-04-21,Premier League,Away,D,2,2,West Brom,17,4
2018-04-24,Champions Lg,Home,W,5,2,it Roma,,
2018-04-28,Premier League,Home,D,0,0,Stoke City,27,0
2018-05-02,Champions Lg,Away,L,2,4,it Roma,,
2018-05-06,Premier League,Away,L,0,1,Chelsea,19,0
2018-05-13,Premier League,Home,W,4,0,Brighton,34,6
2018-05-26,Champions Lg,Neutral,L,1,3,es Real Madrid,,
