,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
Glen Johnson,27,28,29,,,,,
Steven Gerrard,32,33,34,,,,,
Daniel Agger,27,28,,,,,,
Luis Suárez,25,26,,,,,,
Pepe Reina,29,,,,,,,
José Enrique,26,27,28,,,,,
Stewart Downing,28,,,,,,,
Lucas Leiva,25,26,27,28,29,,,
Martin Škrtel,27,28,29,30,,,,
Joe Allen,22,23,24,25,,,,
Raheem Sterling,17,18,19,,,,,
Jordan Henderson,22,23,24,25,26,27,28,29
Jamie Carragher,34,,,,,,,
Andre Wisdom,19,20,,,,,,
Philippe Coutinho,20,21,22,23,24,25,,
Daniel Sturridge,22,23,24,25,26,27,28,
Jonjo Shelvey,20,,,,,,,
Suso,18,,20,,,,,
Brad Jones,30,,32,,,,,
Nuri Şahin,23,,,,,,,
Fabio Borini,21,,23,,,,,
Martin Kelly,22,23,,,,,,
Sebastián Coates,21,,,,,,,
Jordon Ibe,16,17,18,19,,,,
Joe Cole,30,,,,,,,
Oussama Assaidi,23,,,,,,,
Andy Carroll,23,,,,,,,
Conor Coady,19,,,,,,,
Simon Mignolet,,25,26,27,28,29,30,
Jon Flanagan,,20,,22,,24,,
Mamadou Sakho,,23,24,25,,,,
Kolo Touré,,32,33,34,,,,
Aly Cissokho,,25,,,,,,
Victor Moses,,22,,,,,,
Iago Aspas,,25,,,,,,
Luis Alberto,,20,,,,,,
Brad Smith,,19,,21,,,,
João Carlos Teixeira,,20,,22,,,,
Alberto Moreno,,,22,23,24,25,26,
Emre Can,,,20,21,22,23,,
Adam Lallana,,,26,27,28,29,30,31
Dejan Lovren,,,25,26,27,28,29,30
Lazar Marković,,,20,,,,,
Mario Balotelli,,,23,,,,,
Javier Manquillo,,,20,,,,,
Rickie Lambert,,,32,,,,,
Jerome Sinclair,,,17,18,,,,
Cameron Brannagan,,,18,19,,,,
Sheyi Ojo,,,17,18,,,,
Jordan Rossiter,,,17,18,,,,
Danny Ward,,,21,22,,24,,
Jordan Williams,,,18,,,,,
Nathaniel Clyne,,,,24,25,26,27,
James Milner,,,,29,30,31,32,33
Roberto Firmino,,,,23,24,25,26,27
Christian Benteke,,,,24,,,,
Divock Origi,,,,20,21,22,23,24
Kevin Stewart,,,,21,22,,,
Joe Gomez,,,,18,19,20,21,22
Danny Ings,,,,23,,25,,
Ádám Bogdán,,,,27,,,,
Connor Randall,,,,19,20,,,
Pedro Chirivella,,,,18,,,,
Sergi Canós,,,,18,,,,
Steven Caulker,,,,23,,,,
Ryan Fulton,,,,19,,,,
Tiago Ilori,,,,22,,,,
Georginio Wijnaldum,,,,,25,26,27,28
Joël Matip,,,,,24,25,26,27
Sadio Mané,,,,,24,25,26,27
Ragnar Klavan,,,,,30,31,,
Loris Karius,,,,,23,24,25,
Trent Alexander-Arnold,,,,,17,18,19,20
Ben Woodburn,,,,,16,17,,
Marko Grujić,,,,,20,21,,
Ovie Ejaria,,,,,18,,,
Rhian Brewster,,,,,16,,,19
Alex Manninger,,,,,39,,,
Harry Wilson,,,,,19,,,
Mohamed Salah,,,,,,25,26,27
Andrew Robertson,,,,,,23,24,25
Alex Oxlade-Chamberlain,,,,,,23,24,25
Virgil van Dijk,,,,,,26,27,28
Dominic Solanke,,,,,,19,,
Rafael Camacho,,,,,,17,18,
Curtis Jones,,,,,,16,17,18
Conor Masterson,,,,,,18,,
Alisson,,,,,,,25,26
Fabinho,,,,,,,24,25
Naby Keïta,,,,,,,23,24
Xherdan Shaqiri,,,,,,,26,27
Adrián,,,,,,,,32
Neco Williams,,,,,,,,18
Takumi Minamino,,,,,,,,24
Harvey Elliot,,,,,,,,16
Ki-Jana Hoever,,,,,,,,17
Caoimhin Kelleher,,,,,,,,20
Andy Lonergan,,,,,,,,35
Nathaniel Phillips,,,,,,,,22
