Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,Interceptions,Blocks,Catches,Tackles,Possession,date_match,contests,home_team,away_team,liverpool_result,at_anfield,season,rest_days,elo_liverpool,elo_opponent,Diff_elo,liverpool_score_ft,opponent_score_ft
2,1,4-1-3-2,21,9,1,1,1,15,22,3,3,0,0,812,479,29,17,0,25,61%,2014-09-16,UEFA Champions League,Liverpool,Ludogorets Razgrad,V,True,2014 - 2015,3,1887.62744141,1531,356.6274414100001,2,1
0,0,4-3-3,15,5,4,0,0,22,10,7,4,3,0,579,268,89,2,2,7,46%,2014-10-01,UEFA Champions League,FC Basel 1893,Liverpool,D,False,2014 - 2015,4,1862.47326659999,1677,185.47326659998998,0,1
0,0,4-3-3,13,2,4,0,0,10,6,7,9,0,0,785,495,82,4,2,4,46%,2014-10-22,UEFA Champions League,Liverpool,Real Madrid CF,D,True,2014 - 2015,3,1851.51416016,2051,-199.48583983999993,0,3
0,0,4-2-3-1,4,1,8,0,0,8,12,4,1,2,0,665,396,76,15,0,8,39%,2014-11-04,UEFA Champions League,Real Madrid CF,Liverpool,D,False,2014 - 2015,3,1824.30773926,2071,-246.69226073999994,0,1
2,1,4-3-1-2,8,5,3,0,0,14,21,1,2,0,0,618,364,59,9,2,3,47%,2014-11-26,UEFA Champions League,Ludogorets Razgrad,Liverpool,N,False,2014 - 2015,3,1799.56665039,1531,268.56665038999995,2,2
1,0,4-3-3,16,5,3,0,0,17,12,2,4,3,1,777,453,86,5,0,5,56%,2014-12-09,UEFA Champions League,Liverpool,FC Basel 1893,N,True,2014 - 2015,3,1805.01550293,1713,92.01550292999991,1,1
2,1,4-3-3,14,8,3,0,0,22,12,1,5,2,0,1076,265,5,15,2,14,0%,2017-08-15,UEFA Champions League,TSG 1899 Hoffenheim,Liverpool,V,False,2017 - 2018,3,1831.43115234,1763,68.43115233999993,2,1
4,4,4-3-3,20,10,2,0,0,24,3,2,4,1,0,1338,325,10,23,0,16,0%,2017-08-23,UEFA Champions League,Liverpool,TSG 1899 Hoffenheim,V,True,2017 - 2018,4,1845.10327148,1757,88.1032714800001,4,2
2,1,4-3-3,24,7,0,1,0,26,14,0,10,3,1,1372,389,6,29,1,21,50%,2017-09-13,UEFA Champions League,Liverpool,Sevilla FC,N,True,2017 - 2018,4,1851.71960449,1830,21.719604489999938,2,2
1,1,4-3-3,17,7,1,0,0,45,11,3,5,2,0,1664,532,7,10,8,13,64%,2017-09-26,UEFA Champions League,Spartak Moscow,Liverpool,N,False,2017 - 2018,3,1849.04370117,1567,282.0437011700001,1,1
7,7,4-3-3,28,13,2,0,0,32,11,3,9,0,0,1977,710,3,12,2,9,67%,2017-10-17,UEFA Champions League,NK Maribor,Liverpool,V,False,2017 - 2018,3,1851.02392578,1448,403.0239257799999,7,0
3,3,4-3-3,23,8,1,1,0,48,7,0,17,0,0,2229,802,3,13,9,6,72%,2017-11-01,UEFA Champions League,Liverpool,NK Maribor,V,True,2017 - 2018,4,1850.36816406,1447,403.36816406,3,0
3,3,4-3-3,10,7,2,0,0,15,19,1,7,3,0,898,208,12,22,1,10,32%,2017-11-21,UEFA Champions League,Sevilla FC,Liverpool,N,False,2017 - 2018,3,1866.83837891,1787,79.83837891000007,3,3
7,5,4-3-3,17,10,4,1,1,15,16,2,3,1,0,1538,499,7,22,3,17,54%,2017-12-06,UEFA Champions League,Liverpool,Spartak Moscow,V,True,2017 - 2018,4,1871.71105957,1701,170.7110595700001,7,0
5,5,4-3-3,13,6,2,0,0,13,10,1,1,0,0,1428,532,1,19,4,22,52%,2018-02-14,UEFA Champions League,FC Porto,Liverpool,V,False,2017 - 2018,3,1895.28051758,1778,117.28051757999992,5,0
0,0,4-3-3,13,5,1,0,0,26,11,5,1,1,0,1957,723,5,16,2,19,62%,2018-03-06,UEFA Champions League,Liverpool,FC Porto,N,True,2017 - 2018,3,1917.8515625,1775,142.8515625,0,0
3,3,4-3-3,8,4,0,0,0,16,6,3,0,1,0,1112,290,2,34,0,22,35%,2018-04-04,UEFA Champions League,Liverpool,Manchester City,V,True,2017 - 2018,4,1908.31738281,1993,-84.68261718999997,3,0
2,0,4-3-3,5,3,2,0,0,7,7,0,2,4,0,883,224,13,29,4,10,31%,2018-04-10,UEFA Champions League,Manchester City,Liverpool,V,False,2017 - 2018,3,1924.44812012,1968,-43.55187987999989,2,1
5,5,4-3-3,20,11,4,0,0,31,13,5,7,3,0,1319,366,13,20,10,13,50%,2018-04-24,UEFA Champions League,Liverpool,AS Roma,V,True,2017 - 2018,3,1930.45751953,1845,85.4575195299999,5,2
2,1,4-3-3,11,5,3,0,0,10,14,5,3,3,0,1092,273,10,22,3,7,42%,2018-05-02,UEFA Champions League,AS Roma,Liverpool,D,False,2017 - 2018,4,1934.39086914,1835,99.39086913999995,2,4
1,1,4-3-3,12,2,2,0,0,24,18,3,5,1,0,986,266,7,18,3,20,38%,2018-05-26,UEFA Champions League,Real Madrid CF,Liverpool,D,False,2017 - 2018,13,1923.88317871,2011,-87.11682128999996,1,3
3,1,4-3-3,17,8,3,1,1,46,14,1,13,1,0,1535,468,9,9,3,15,53%,2018-09-18,UEFA Champions League,Liverpool,Paris Saint,V,True,2018 - 2019,3,1936.02026367,1899,37.02026367000008,3,2
0,0,4-3-3,4,0,3,0,0,13,9,1,1,1,0,1424,450,6,14,2,14,46%,2018-10-03,UEFA Champions League,SSC Napoli,Liverpool,D,False,2018 - 2019,4,1941.14575195,1850,91.14575194999998,0,1
4,3,4-3-3,22,12,0,1,1,26,10,4,4,0,0,1745,569,6,15,3,17,59%,2018-10-24,UEFA Champions League,Liverpool,Crvena Zvezda,V,True,2018 - 2019,4,1930.55993652,1507,423.55993652000006,4,0
0,0,4-3-3,22,3,2,0,0,41,9,4,9,1,0,1647,536,1,9,6,6,65%,2018-11-06,UEFA Champions League,Crvena Zvezda,Liverpool,D,False,2018 - 2019,3,1934.60778809,1505,429.60778809,0,2
1,0,4-3-3,7,1,6,1,1,28,20,1,5,6,0,1455,476,2,18,4,19,54%,2018-11-28,UEFA Champions League,Paris Saint,Liverpool,D,False,2018 - 2019,4,1917.81872559,1895,22.818725589999985,1,2
1,1,4-3-3,23,5,3,0,0,24,16,5,3,4,0,1423,440,9,21,5,8,49%,2018-12-11,UEFA Champions League,Liverpool,SSC Napoli,V,True,2018 - 2019,3,1927.54663086,1869,58.54663086000005,1,0
0,0,4-3-3,16,2,1,0,0,25,10,1,5,1,0,1385,431,9,17,1,13,47%,2019-02-19,UEFA Champions League,Liverpool,FC Bayern Munich,N,True,2018 - 2019,10,1939.20471191,1936,3.2047119100000145,0,0
3,3,4-3-3,9,6,1,0,0,19,14,2,7,3,0,1182,350,6,16,4,18,42%,2019-03-13,UEFA Champions League,FC Bayern Munich,Liverpool,V,False,2018 - 2019,3,1947.97265625,1951,-3.02734375,3,1
2,2,4-3-3,14,3,3,0,0,20,9,4,4,0,0,1788,569,3,22,7,16,59%,2019-04-09,UEFA Champions League,Liverpool,FC Porto,V,True,2018 - 2019,4,1986.84802246,1824,162.84802246000004,2,0
4,4,4-3-3,11,5,7,0,0,12,13,2,3,1,0,1218,354,9,27,7,13,47%,2019-04-17,UEFA Champions League,FC Porto,Liverpool,V,False,2018 - 2019,3,1998.65966797,1824,174.6596679700001,4,1
0,0,4-3-3,14,3,2,0,0,31,15,1,5,1,0,1479,482,11,11,7,9,52%,2019-05-01,UEFA Champions League,FC Barcelona,Liverpool,D,False,2018 - 2019,5,2006.44958496,2042,-35.55041503999996,0,3
4,3,4-3-3,13,7,5,0,0,33,12,1,7,2,0,1222,362,13,21,5,12,46%,2019-05-07,UEFA Champions League,Liverpool,FC Barcelona,V,True,2018 - 2019,3,1996.36315918,2035,-38.63684082000009,4,0
2,1,4-3-3,14,3,8,1,1,19,6,2,9,0,0,796,197,8,11,6,12,38%,2019-06-01,UEFA Champions League,Tottenham Hotspur,Liverpool,V,False,2018 - 2019,20,2036.97473145,1897,139.97473145000004,2,0
0,0,4-3-3,12,4,3,0,0,15,10,1,6,2,0,1504,520,5,25,1,20,51%,2019-09-17,UEFA Champions League,SSC Napoli,Liverpool,D,False,2019 - 2020,3,2060.13549805,1804,256.13549805,0,2
4,4,4-3-3,11,5,2,0,0,21,7,1,6,1,0,1935,694,7,18,3,10,67%,2019-10-02,UEFA Champions League,Liverpool,Red Bull Salzburg,V,True,2019 - 2020,4,2035.74169922,1800,235.7416992200001,4,3
4,4,4-3-3,16,7,3,0,0,31,14,2,7,1,0,2050,712,1,20,6,10,68%,2019-10-23,UEFA Champions League,KRC Genk,Liverpool,V,False,2019 - 2020,3,2041.11743164,1619,422.11743163999995,4,1
2,1,4-3-3,27,8,2,0,0,30,10,3,9,0,0,2036,716,7,9,3,12,64%,2019-11-05,UEFA Champions League,Liverpool,KRC Genk,V,True,2019 - 2020,3,2054.2434082,1593,461.2434082,2,1
1,1,4-3-3,14,4,0,0,0,49,15,0,10,2,0,2029,687,4,20,7,8,66%,2019-11-27,UEFA Champions League,Liverpool,SSC Napoli,N,True,2019 - 2020,4,2063.20532227,1785,278.2053222700001,1,1
2,1,4-3-3,22,7,5,0,0,20,4,1,4,1,0,1626,504,9,19,4,9,57%,2019-12-10,UEFA Champions League,Red Bull Salzburg,Liverpool,V,False,2019 - 2020,3,2049.83374023,1787,262.8337402299999,2,0
0,0,4-3-3,6,0,1,0,0,33,13,1,7,3,0,1930,640,1,10,1,11,68%,2020-02-18,UEFA Champions League,Atletico de Madrid,Liverpool,D,False,2019 - 2020,3,2084.40844727,1840,244.40844727000012,0,1
2,1,4-3-3,35,12,3,0,0,72,18,2,16,1,0,2381,764,10,16,6,15,66%,2020-03-11,UEFA Champions League,Liverpool,Atletico de Madrid,D,True,2019 - 2020,4,2045.39086914,1841,204.39086913999995,2,3
