Situation,Sh,G,ShA,GA,xG,xGA,season
Open play,464,39,294,32,42.82+3.82,27.51-4.49,2014/2015
From corner,82,4,67,6,4.94+0.94,5.48-0.52,2014/2015
Direct Freekick,25,1,26,3,1.40+0.40,1.36-1.64,2014/2015
Set piece,17,3,27,6,2.47-0.53,4.82-1.18,2014/2015
Penalty,6,5,3,1,4.57-0.43,2.28+1.28,2014/2015
Open play,487,46,294,33,41.62-4.38,24.70-8.30,2015/2016
From corner,95,9,58,10,9.24+0.24,6.52-3.48,2015/2016
Direct Freekick,27,5,32,4,2.23-2.77,5.09+1.09,2015/2016
Set piece,19,1,13,1,1.12+0.12,0.76-0.24,2015/2016
Penalty,2,2,3,2,1.52-0.48,2.28+0.28,2015/2016
Open play,496,58,208,28,50.46-7.54,23.46-4.54,2016/2017
From corner,84,6,42,7,7.45+1.45,7.83+0.83,2016/2017
Direct Freekick,37,4,35,2,3.54-0.46,2.27+0.27,2016/2017
Set piece,14,3,20,2,0.84-2.16,1.23-0.77,2016/2017
Penalty,8,7,5,3,6.09-0.91,3.81+0.81,2016/2017
Open play,524,71,197,26,67.10-3.90,21.75-4.25,2017/2018
From corner,74,7,35,5,6.89-0.11,5.99+0.99,2017/2018
Direct Freekick,22,2,11,0,1.61-0.39,0.67+0.67,2017/2018
Set piece,15,2,32,3,2.70+0.70,3.22+0.22,2017/2018
Penalty,3,2,6,4,2.28+0.28,4.57+0.57,2017/2018
Open play,430,60,235,14,60.68+0.68,20.78+6.78,2018/2019
From corner,91,14,40,5,10.43-3.57,4.49-0.51,2018/2019
Direct Freekick,30,7,22,3,5.76-1.24,3.34+0.34,2018/2019
Set piece,20,1,9,0,1.41+0.41,0.48+0.48,2018/2019
Penalty,7,7,1,0,5.33-1.67,0.76+0.76,2018/2019
Open play,456,63,268,26,62.03-0.97,33.17+7.17,2019/2020
From corner,86,11,53,2,7.83-3.17,4.84+2.84,2019/2020
Direct Freekick,27,4,17,3,3.11-0.89,2.03-0.97,2019/2020
Set piece,19,2,5,1,1.41-0.59,0.25-0.75,2019/2020
Penalty,5,5,1,1,3.81-1.19,0.76-0.24,2019/2020
