Timing,Sh,G,ShA,GA,xG,xGA,season
1-15,89,8,66,7,6.85-1.15,6.64-0.36,2014/2015
16-30,84,8,55,7,6.12-1.88,6.63-0.37,2014/2015
31-45,71,5,69,9,7.36+2.36,5.59-3.41,2014/2015
46-60,101,9,83,10,10.48+1.48,7.06-2.94,2014/2015
61-75,120,11,51,6,11.61+0.61,5.35-0.65,2014/2015
76+,129,11,93,9,13.77+2.77,10.20+1.20,2014/2015
1-15,81,6,50,7,5.72-0.28,5.52-1.48,2015/2016
16-30,105,10,57,7,7.12-2.88,6.75-0.25,2015/2016
31-45,102,10,65,5,10.95+0.95,3.70-1.30,2015/2016
46-60,109,12,70,8,9.78-2.22,6.40-1.60,2015/2016
61-75,111,15,66,10,11.43-3.57,9.69-0.31,2015/2016
76+,122,10,92,13,10.74+0.74,7.29-5.71,2015/2016
1-15,68,7,50,5,6.80-0.20,4.17-0.83,2016/2017
16-30,108,16,52,7,11.37-4.63,6.28-0.72,2016/2017
31-45,109,15,45,8,10.32-4.68,6.49-1.51,2016/2017
46-60,143,21,40,7,17.75-3.25,6.61-0.39,2016/2017
61-75,82,13,63,8,10.19-2.81,6.66-1.34,2016/2017
76+,129,6,60,7,11.94+5.94,8.38+1.38,2016/2017
1-15,81,8,40,6,9.57+1.57,5.35-0.65,2017/2018
16-30,115,18,37,3,13.53-4.47,2.75-0.25,2017/2018
31-45,93,9,45,5,12.13+3.13,4.44-0.56,2017/2018
46-60,126,18,56,11,15.70-2.30,9.69-1.31,2017/2018
61-75,100,16,38,1,13.94-2.06,4.08+3.08,2017/2018
76+,123,15,65,12,15.70+0.70,9.89-2.11,2017/2018
1-15,85,11,35,3,11.91+0.91,3.92+0.92,2018/2019
16-30,89,16,47,3,12.82-3.18,4.46+1.46,2018/2019
31-45,73,9,47,3,8.63-0.37,3.19+0.19,2018/2019
46-60,110,15,60,3,12.82-2.18,5.56+2.56,2018/2019
61-75,83,14,58,5,11.84-2.16,6.04+1.04,2018/2019
76+,138,24,60,5,25.59+1.59,6.68+1.68,2018/2019
1-15,72,11,38,5,8.07-2.93,4.07-0.93,2019/2020
16-30,93,13,43,3,9.77-3.23,5.70+2.70,2019/2020
31-45,92,20,58,6,14.12-5.88,6.68+0.68,2019/2020
46-60,135,12,70,7,17.06+5.06,9.45+2.45,2019/2020
61-75,111,12,52,6,14.33+2.33,5.09-0.91,2019/2020
76+,90,17,83,6,14.82-2.18,10.05+4.05,2019/2020
