Shots,Saves,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Passes,Interceptions,Blocks,Catches,Tackles,liverpool_result_ft,Rest_Days,Elo_Diff,home_0_away_1
21,1,15,22,3,3,0,0,479,29,17,0,25,V,3,356.62744141000013,0
15,4,22,10,7,4,3,0,268,89,2,2,7,D,4,185.47326659999,1
13,4,10,6,7,9,0,0,495,82,4,2,4,D,3,-199.48583983999995,0
4,8,8,12,4,1,2,0,396,76,15,0,8,D,3,-246.69226073999997,1
8,3,14,21,1,2,0,0,364,59,9,2,3,N,3,268.56665038999995,1
16,3,17,12,2,4,3,1,453,86,5,0,5,N,3,92.01550292999993,0
14,3,22,12,1,5,2,0,265,5,15,2,14,V,3,68.43115233999994,1
20,2,24,3,2,4,1,0,325,10,23,0,16,V,4,88.10327148000009,0
24,0,26,14,0,10,3,1,389,6,29,1,21,N,4,21.719604489999934,0
17,1,45,11,3,5,2,0,532,7,10,8,13,N,3,282.04370117000013,1
28,2,32,11,3,9,0,0,710,3,12,2,9,V,3,403.02392577999984,1
23,1,48,7,0,17,0,0,802,3,13,9,6,V,4,403.36816406,0
10,2,15,19,1,7,3,0,208,12,22,1,10,N,3,79.83837891000006,1
17,4,15,16,2,3,1,0,499,7,22,3,17,V,4,170.7110595700001,0
13,2,13,10,1,1,0,0,532,1,19,4,22,V,3,117.28051757999992,1
13,1,26,11,5,1,1,0,723,5,16,2,19,N,3,142.8515625,0
8,0,16,6,3,0,1,0,290,2,34,0,22,V,4,-84.68261718999997,0
5,2,7,7,0,2,4,0,224,13,29,4,10,V,3,-43.551879879999895,1
20,4,31,13,5,7,3,0,366,13,20,10,13,V,3,85.4575195299999,0
11,3,10,14,5,3,3,0,273,10,22,3,7,D,4,99.39086913999996,1
12,2,24,18,3,5,1,0,266,7,18,3,20,D,13,-87.11682128999996,1
17,3,46,14,1,13,1,0,468,9,9,3,15,V,3,37.02026367000008,0
4,3,13,9,1,1,1,0,450,6,14,2,14,D,4,91.14575194999998,1
22,0,26,10,4,4,0,0,569,6,15,3,17,V,4,423.55993652000006,0
22,2,41,9,4,9,1,0,536,1,9,6,6,D,3,429.60778809,1
7,6,28,20,1,5,6,0,476,2,18,4,19,D,4,22.818725589999985,1
23,3,24,16,5,3,4,0,440,9,21,5,8,V,3,58.54663086000005,0
16,1,25,10,1,5,1,0,431,9,17,1,13,N,10,3.2047119100000145,0
9,1,19,14,2,7,3,0,350,6,16,4,18,V,3,-3.02734375,1
14,3,20,9,4,4,0,0,569,3,22,7,16,V,4,162.84802246000004,0
11,7,12,13,2,3,1,0,354,9,27,7,13,V,3,174.65966797000007,1
14,2,31,15,1,5,1,0,482,11,11,7,9,D,5,-35.55041503999996,1
13,5,33,12,1,7,2,0,362,13,21,5,12,V,3,-38.636840820000096,0
14,8,19,6,2,9,0,0,197,8,11,6,12,V,20,139.97473145000004,1
12,3,15,10,1,6,2,0,520,5,25,1,20,D,3,256.13549805,1
11,2,21,7,1,6,1,0,694,7,18,3,10,V,4,235.74169922000007,0
16,3,31,14,2,7,1,0,712,1,20,6,10,V,3,422.11743164,1
27,2,30,10,3,9,0,0,716,7,9,3,12,V,3,461.2434081999999,0
14,0,49,15,0,10,2,0,687,4,20,7,8,N,4,278.20532227000007,0
22,5,20,4,1,4,1,0,504,9,19,4,9,V,3,262.83374022999993,1
6,1,33,13,1,7,3,0,640,1,10,1,11,D,3,244.40844727000007,1
35,3,72,18,2,16,1,0,764,10,16,6,15,D,4,204.39086913999995,0
16,4,17,12,4,3,4,1,378,22,13,3,13,D,6,67.60021972999994,1
14,1,21,10,0,4,1,0,268,38,7,1,3,N,3,-188.74841309,0
17,3,21,12,3,10,2,0,439,25,5,0,21,D,3,-84.47619628999995,0
23,0,38,11,1,7,2,0,525,70,4,0,11,N,13,46.60900878999996,1
12,1,23,14,0,7,1,1,299,14,1,1,11,D,3,-181.70471191,0
15,2,15,6,5,5,0,0,587,30,2,0,2,V,3,112.04785156000004,1
17,2,25,9,0,5,0,0,468,37,12,0,2,N,3,52.6032714800001,0
26,3,17,13,3,6,1,0,308,34,2,1,13,V,13,107.62756347999995,0
12,1,12,18,3,5,3,0,144,18,5,0,13,N,3,-55.607910160000074,1
21,2,33,12,0,14,0,0,414,73,5,1,10,N,4,-20.459838870000116,0
9,2,8,13,7,7,3,0,318,33,3,0,0,N,3,-146.03991698999994,1
23,2,23,9,1,10,0,0,343,73,1,1,7,V,6,79.2890625,0
21,2,23,10,3,6,0,0,416,121,6,1,6,N,3,72.41076659998998,1
15,4,29,18,1,12,2,0,472,92,2,3,17,D,3,-33.08911132999992,1
24,2,62,15,3,10,2,0,470,135,5,1,11,V,3,156.06506347999994,0
14,4,24,12,1,5,2,0,396,54,7,3,6,V,3,65.91943358999994,1
28,3,53,5,3,7,1,0,467,68,0,1,10,D,6,107.65087891000007,0
20,3,19,13,3,8,1,0,436,25,4,1,2,V,7,42.44140625,0
15,3,25,6,3,8,1,0,334,29,5,0,0,D,4,41.857421879999954,1
18,6,50,9,1,9,1,0,490,21,3,5,13,V,4,167.7143554700001,1
27,2,23,9,7,9,0,0,491,20,10,0,13,V,3,70.72534179999002,0
12,4,18,15,1,1,4,0,409,13,8,1,15,D,7,-176.45019531000003,1
18,2,28,10,2,9,1,0,582,7,2,1,2,V,6,102.49072266000007,0
11,5,14,11,3,6,1,0,286,39,8,1,4,N,3,-54.49365233999993,1
18,1,20,8,2,10,4,0,347,20,3,0,3,N,4,-140.6055908200001,1
25,1,32,10,5,13,1,0,427,130,1,0,5,D,8,90.52172851999991,0
33,3,11,6,1,10,0,0,390,49,5,0,0,V,3,37.794799799999964,0
8,10,3,15,4,3,2,0,304,46,4,1,2,V,9,116.38793944999998,1
11,6,9,9,6,1,1,0,215,29,6,1,1,V,8,-70.34899902000006,0
8,8,9,10,6,5,1,0,348,78,6,3,0,D,6,164.78649902000006,1
17,3,7,9,6,8,1,0,438,88,1,2,0,V,15,130.75964354999996,1
19,4,6,8,4,12,0,0,388,4,0,0,1,N,7,122.06286621000004,0
26,5,0,9,6,9,1,0,395,154,4,1,10,N,6,191.4608154299999,1
23,5,12,9,1,8,5,0,328,6,3,1,1,N,8,-95.12719726999991,0
11,1,0,7,5,7,2,0,402,95,3,0,0,V,6,77.60168457000009,1
16,4,19,10,3,3,1,0,255,47,13,1,4,N,8,-14.067749020000065,0
19,4,11,10,2,8,1,0,475,69,4,2,12,V,7,120.53271483999993,1
27,0,0,7,2,14,1,0,514,39,5,0,5,V,7,224.16760254,0
26,7,9,11,2,12,1,0,389,18,6,1,2,V,7,140.17736816,0
5,3,7,8,2,2,3,0,340,54,3,1,3,V,7,116.51159667999993,1
9,4,5,15,1,2,2,0,206,32,13,3,13,V,5,-119.82165527000005,0
12,7,11,10,2,7,3,0,339,83,5,4,9,N,15,126.8979492200001,1
10,6,15,6,3,6,0,0,316,70,1,2,3,D,5,172.47729492000008,0
15,4,24,10,1,8,1,0,345,16,16,0,13,V,4,183.70678711000005,1
13,1,30,11,5,10,2,0,574,94,8,0,12,V,6,289.97290038999995,0
23,2,14,10,2,13,3,0,508,76,6,0,13,N,14,134.27978516000007,1
18,2,13,14,1,3,0,0,361,38,10,1,11,V,7,117.47644042999993,0
12,5,25,7,4,5,1,0,338,70,13,2,6,D,7,-66.70349121000004,1
32,1,20,13,4,9,0,0,675,62,8,1,5,V,7,153.69433593999997,0
11,9,11,15,4,7,3,0,218,64,1,1,0,N,14,7.154418950000036,1
9,2,1,16,0,6,0,0,369,7,2,1,0,D,8,273.79821777000006,1
28,4,16,10,2,4,3,0,503,65,4,3,4,V,3,150.20410156000003,0
32,1,22,9,2,8,0,0,485,86,18,0,1,V,3,147.6342773399999,0
20,0,15,15,4,9,0,0,377,11,16,0,7,V,8,-21.526733400010013,1
27,2,19,11,2,9,2,0,494,74,7,1,1,V,6,234.26171875,0
12,4,20,9,3,6,3,0,371,31,13,3,7,D,5,-93.72937012000013,1
8,3,12,17,1,2,1,0,290,85,1,0,2,D,3,-64.09521483999994,1
17,0,10,15,1,3,1,0,370,84,8,0,4,V,3,237.89685059,0
13,1,14,8,0,2,1,0,285,20,7,0,4,V,7,175.92443847999994,1
14,1,12,14,3,2,1,0,363,85,5,0,14,N,6,183.0665283200001,0
20,4,5,11,1,5,0,0,279,103,29,1,9,V,3,4.142333980000103,0
12,3,11,15,2,4,2,0,365,126,18,1,4,N,5,184.0194091799999,1
22,5,16,14,4,6,1,0,243,79,2,4,1,V,6,-53.248046879999954,0
21,2,31,9,0,5,3,0,573,98,2,1,1,V,4,262.87463379,1
21,2,12,9,2,3,1,0,410,22,5,0,12,V,7,186.81054687999998,0
12,2,10,6,1,6,2,0,318,94,6,1,9,V,6,164.43078612999992,1
17,1,14,12,1,4,4,0,247,9,2,0,2,V,15,-5.056274410000015,1
19,0,17,11,1,6,3,0,433,53,0,0,1,V,6,332.50073242000013,1
21,3,14,5,2,3,0,0,322,21,8,2,1,V,4,269.61303711000005,0
11,4,25,9,2,5,0,0,425,51,4,2,3,V,4,86.29431152000005,0
17,0,11,9,0,4,0,0,446,21,8,0,5,V,7,225.0135498,1
10,4,11,7,5,7,1,1,336,63,17,1,12,V,7,-47.20727538999995,0
14,3,7,10,1,3,2,0,483,81,9,1,14,V,7,306.2901611299999,1
26,2,30,9,1,14,0,0,540,99,5,0,12,D,7,-10.6953125,0
26,3,24,12,3,7,3,0,556,81,4,1,12,N,8,282.50878906,1
13,2,19,8,3,6,1,0,596,104,4,1,7,V,6,244.61633301000006,0
12,5,12,8,2,2,1,0,452,51,4,3,5,V,7,180.86303711000005,0
11,1,16,7,1,7,1,0,446,92,2,1,6,D,8,-56.2087402300001,1
17,1,8,11,1,3,4,0,243,56,1,0,6,V,6,83.76953125,1
18,0,22,9,3,7,2,0,618,45,0,0,12,D,13,272.55236816,0
11,4,17,11,0,5,1,0,393,87,5,2,12,D,4,235.68005371000004,1
24,4,20,8,2,8,2,0,365,86,5,3,10,N,7,62.014160160000074,0
19,3,21,12,3,5,2,0,223,39,8,2,6,V,3,215.27001952999993,0
