Date,GA,xGA,num_match
2017-08-12,3,2.0,1
2017-08-19,0,0.5,2
2017-08-27,0,0.7,3
2017-09-09,5,2.8,4
2017-09-16,1,0.4,5
2017-09-23,2,2.9,6
2017-10-01,1,0.4,7
2017-10-14,0,0.3,8
2017-10-22,4,1.8,9
2017-10-28,0,0.1,10
2017-11-04,1,0.9,11
2017-11-18,0,0.4,12
2017-11-25,1,1.1,13
2017-11-29,0,0.9,14
2017-12-02,1,1.6,15
2017-12-10,1,0.8,16
2017-12-13,0,0.5,17
2017-12-17,0,0.8,18
2017-12-22,3,0.8,19
2017-12-26,0,0.3,20
2017-12-30,1,0.9,21
2018-01-01,1,1.2,22
2018-01-14,3,1.2,23
2018-01-22,1,0.3,24
2018-01-30,0,0.4,25
2018-02-04,2,2.2,26
2018-02-11,0,0.5,27
2018-02-24,1,0.3,28
2018-03-03,0,0.3,29
2018-03-10,2,0.6,30
2018-03-17,0,0.2,31
2018-03-31,1,1.4,32
2018-04-07,0,0.5,33
2018-04-14,0,0.6,34
2018-04-21,2,1.5,35
2018-04-28,0,0.7,36
2018-05-06,1,0.7,37
2018-05-13,0,0.1,38
2018-08-12,0,0.8,39
2018-08-20,0,0.4,40
2018-08-25,0,0.5,41
2018-09-01,1,1.0,42
2018-09-15,1,1.0,43
2018-09-18,2,1.1,44
2018-09-22,0,0.3,45
2018-09-29,1,1.3,46
2018-10-03,1,2.0,47
2018-10-07,0,1.0,48
2018-10-20,0,0.9,49
2018-10-24,0,0.3,50
2018-10-27,1,0.5,51
2018-11-03,1,1.4,52
2018-11-06,2,0.6,53
2018-11-11,0,0.7,54
2018-11-24,0,0.3,55
2018-11-28,2,1.4,56
2018-12-02,0,1.2,57
2018-12-05,1,1.1,58
2018-12-08,0,0.6,59
2018-12-11,0,0.9,60
2018-12-16,1,0.6,61
2018-12-21,0,1.1,62
2018-12-26,0,0.7,63
2018-12-29,1,1.3,64
2019-01-03,2,0.8,65
2019-01-12,0,0.5,66
2019-01-19,3,0.7,67
2019-01-30,1,0.8,68
2019-02-04,1,0.8,69
2019-02-09,0,0.4,70
2019-02-19,0,0.4,71
2019-02-24,0,0.2,72
2019-02-27,0,1.0,73
2019-03-03,0,0.5,74
2019-03-10,2,0.3,75
2019-03-13,1,0.2,76
2019-03-17,1,1.1,77
2019-03-31,1,1.4,78
2019-04-05,1,0.8,79
2019-04-09,0,0.9,80
2019-04-14,0,0.9,81
2019-04-17,1,1.2,82
2019-04-21,0,1.0,83
2019-04-26,0,0.1,84
2019-05-01,3,2.4,85
2019-05-04,2,1.4,86
2019-05-07,0,1.0,87
2019-05-12,0,0.6,88
2019-06-01,0,1.1,89
2019-08-09,1,1.0,90
2019-08-17,1,1.6,91
2019-08-24,1,0.9,92
2019-08-31,0,0.4,93
2019-09-14,1,0.4,94
2019-09-17,2,1.7,95
2019-09-22,1,1.2,96
2019-09-28,0,1.3,97
2019-10-02,3,2.0,98
2019-10-05,1,0.1,99
2019-10-20,1,0.7,100
2019-10-23,1,0.8,101
2019-10-27,1,1.4,102
2019-11-02,1,0.7,103
2019-11-05,1,0.5,104
2019-11-10,1,1.3,105
2019-11-23,1,1.0,106
2019-11-27,1,0.2,107
2019-11-30,1,1.0,108
2019-12-04,2,1.5,109
2019-12-07,0,0.2,110
2019-12-10,0,1.0,111
2019-12-14,0,1.4,112
2019-12-26,0,0.1,113
2019-12-29,0,0.6,114
2020-01-02,0,0.8,115
2020-01-11,0,1.6,116
2020-01-19,0,1.2,117
2020-01-23,1,1.6,118
2020-01-29,0,0.8,119
2020-02-01,0,1.0,120
2020-02-15,0,0.4,121
2020-02-18,1,0.8,122
2020-02-24,2,0.7,123
2020-02-29,3,2.2,124
2020-03-07,1,1.3,125
2020-03-11,3,0.9,126
2020-06-21,0,1.3,127
2020-06-24,0,0.2,128
2020-07-02,4,2.7,129
2020-07-05,0,0.5,130
2020-07-08,1,2.2,131
2020-07-11,1,0.8,132
2020-07-15,2,1.1,133
2020-07-22,3,2.3,134
2020-07-26,1,0.4,135
