Saison,Competition,90s,Goals,Assists,Touches,Crosses,SCA,SCA90,GCA,GCA90
2017-2018,Champions Lg,6.0,0,0,NaN,14,NaN,NaN,NaN,NaN
2017-2018,EFL Cup,1.0,0,0,NaN,5,NaN,NaN,NaN,NaN
2017-2018,FA Cup,1.0,0,0,NaN,2,NaN,NaN,NaN,NaN
2017-2018,Premier League,21.6,1,5,1831,59,48,2.22,7,0.32
2018-2019,Champions Lg,11.2,0,2,845,20,21,1.88,3,0.27
2018-2019,Premier League,35.7,0,11,3101,108,84,2.35,20,0.56
2019-2020,Champions Lg,7.2,1,0,748,20,14,1.94,0,0.00
2019-2020,Community Shield,1.3,0,0,NaN,2,NaN,NaN,NaN,NaN
2019-2020,FA Cup,1.0,0,0,NaN,12,NaN,NaN,NaN,NaN
2019-2020,Premier League,34.6,2,12,3265,130,108,3.12,20,0.58
2019-2020,Super Cup,1.0,0,0,NaN,2,NaN,NaN,NaN,NaN
