Saison,Joueur,Equipe,Prix
2013/2014,Mamadou Sakho,Paris SG,Ä19.00m
2013/2014,Iago Aspas,Celta de Vigo,Ä10.80m
2013/2014,Simon Mignolet,Sunderland,Ä10.60m
2013/2014,Luis Alberto,Sevilla FC,Ä8.00m
2013/2014,Tiago Ilori,Sporting CP,Ä7.50m
"2013/2014,Victor Moses,Chelsea,""Loan fee:Ä1.20m"""
"2013/2014,Aly Cissokho,Valencia,""Loan fee:Ä1.00m"""
2013/2014,Kolo Toure,Man City,Free transfer
2013/2014,Jordon Ibe,Birmingham,End of loan
2013/2014,Craig Roddan,Carlisle United,End of loan
2013/2014,Craig Roddan,Accrington,End of loan
2013/2014,Jordon Ibe,Liverpool U23,-
2013/2014,Craig Roddan,Liverpool U23,-
2013/2014,Kriszti√°n Adorj√°n,Liverpool U23,-
2013/2014,Jack Robinson,Blackpool,End of loan
2013/2014,Fabio Borini,Sunderland,End of loan
2013/2014,Andre Wisdom,Derby,End of loan
2013/2014,Kristoffer Peterson,Tranmere Rovers,End of loan
