date_match,contests,home_team,home_score,away_score,away_team,liverpool_score,at_anfield,season,rest_days
2017-08-15,UEFA Champions League,TSG 1899 Hoffenheim - Germany ,1,2,Liverpool,V,False,2017 - 2018,3
2017-08-23,UEFA Champions League,Liverpool - England ,4,2,TSG,V,True,2017 - 2018,4
2017-09-13,UEFA Champions League,Liverpool - England ,2,2,Sevilla,N,True,2017 - 2018,4
2017-09-26,UEFA Champions League,Spartak Moscow - Russia ,1,1,Liverpool,N,False,2017 - 2018,3
2017-10-17,UEFA Champions League,NK Maribor - Slovenia ,0,7,Liverpool,V,False,2017 - 2018,3
2017-11-01,UEFA Champions League,Liverpool - England ,3,0,NK,V,True,2017 - 2018,4
2017-11-21,UEFA Champions League,Sevilla FC - Spain ,3,3,Liverpool,N,False,2017 - 2018,3
2017-12-06,UEFA Champions League,Liverpool - England ,7,0,Spartak,V,True,2017 - 2018,4
2018-02-14,UEFA Champions League,FC Porto - Portugal ,0,5,Liverpool,V,False,2017 - 2018,3
2018-03-06,UEFA Champions League,Liverpool - England ,0,0,FC,N,True,2017 - 2018,3
2018-04-04,UEFA Champions League,Liverpool - England ,3,0,Manchester,V,True,2017 - 2018,4
2018-04-10,UEFA Champions League,Manchester City - England ,1,2,Liverpool,V,False,2017 - 2018,3
2018-04-24,UEFA Champions League,Liverpool - England ,5,2,AS,V,True,2017 - 2018,3
2018-05-02,UEFA Champions League,AS Roma - Italy ,4,2,Liverpool,D,False,2017 - 2018,4
2018-05-26,UEFA Champions League,Real Madrid CF - Spain ,3,1,Liverpool,D,False,2017 - 2018,13
