Date,Comp,Venue,Result,GF,GA,Opponent,Attendance
2018-08-12,Premier League,Home,W,4,0,West Ham,53235
2018-08-20,Premier League,Away,W,2,0,Crystal Palace,25750
2018-08-25,Premier League,Home,W,1,0,Brighton,53294
2018-09-01,Premier League,Away,W,2,1,Leicester City,32149
2018-09-15,Premier League,Away,W,2,1,Tottenham,80188
2018-09-18,Champions Lg,Home,W,3,2,fr Paris S-G,52478
2018-09-22,Premier League,Home,W,3,0,Southampton,50965
2018-09-26,EFL Cup,Home,L,1,2,Chelsea,45503
2018-09-29,Premier League,Away,D,1,1,Chelsea,40625
2018-10-03,Champions Lg,Away,L,0,1,it Napoli,37057
2018-10-07,Premier League,Home,D,0,0,Manchester City,52117
2018-10-20,Premier League,Away,W,1,0,Huddersfield,24263
2018-10-24,Champions Lg,Home,W,4,0,rs Red Star,53024
2018-10-27,Premier League,Home,W,4,1,Cardiff City,53373
2018-11-03,Premier League,Away,D,1,1,Arsenal,59993
2018-11-06,Champions Lg,Away,L,0,2,rs Red Star,51318
2018-11-11,Premier League,Home,W,2,0,Fulham,53128
2018-11-24,Premier League,Away,W,3,0,Watford,20540
2018-11-28,Champions Lg,Away,L,1,2,fr Paris S-G,46880
2018-12-02,Premier League,Home,W,1,0,Everton,51756
2018-12-05,Premier League,Away,W,3,1,Burnley,21741
2018-12-08,Premier League,Away,W,4,0,Bournemouth,10752
2018-12-11,Champions Lg,Home,W,1,0,it Napoli,52015
2018-12-16,Premier League,Home,W,3,1,Manchester Utd,52908
2018-12-21,Premier League,Away,W,2,0,Wolves,31358
2018-12-26,Premier League,Home,W,4,0,Newcastle Utd,53318
2018-12-29,Premier League,Home,W,5,1,Arsenal,53326
2019-01-03,Premier League,Away,L,1,2,Manchester City,54511
2019-01-07,FA Cup,Away,L,1,2,Wolves,25849
2019-01-12,Premier League,Away,W,1,0,Brighton,30682
2019-01-19,Premier League,Home,W,4,3,Crystal Palace,53171
2019-01-30,Premier League,Home,D,1,1,Leicester City,53092
2019-02-04,Premier League,Away,D,1,1,West Ham,59903
2019-02-09,Premier League,Home,W,3,0,Bournemouth,53178
2019-02-19,Champions Lg,Home,D,0,0,de Bayern Munich,52250
2019-02-24,Premier League,Away,D,0,0,Manchester Utd,74519
2019-02-27,Premier League,Home,W,5,0,Watford,53316
2019-03-03,Premier League,Away,D,0,0,Everton,39335
2019-03-10,Premier League,Home,W,4,2,Burnley,53310
2019-03-13,Champions Lg,Away,W,3,1,de Bayern Munich,68145
2019-03-17,Premier League,Away,W,2,1,Fulham,25043
2019-03-31,Premier League,Home,W,2,1,Tottenham,53322
2019-04-05,Premier League,Away,W,3,1,Southampton,31797
2019-04-09,Champions Lg,Home,W,2,0,pt Porto,52465
2019-04-14,Premier League,Home,W,2,0,Chelsea,53279
2019-04-17,Champions Lg,Away,W,4,1,pt Porto,49117
2019-04-21,Premier League,Away,W,2,0,Cardiff City,33082
2019-04-26,Premier League,Home,W,5,0,Huddersfield,53249
2019-05-01,Champions Lg,Away,L,0,3,es Barcelona,98299
2019-05-04,Premier League,Away,W,3,2,Newcastle Utd,52206
2019-05-07,Champions Lg,Home,W,4,0,es Barcelona,55212
2019-05-12,Premier League,Home,W,2,0,Wolves,53331
2019-06-01,Champions Lg,Away,W,2,0,eng Tottenham,63272
