Date,Comp,Venue,Result,GF,GA,Opponent,SCA,GCA
2019-08-04,Community Shield,Neutral,L,1 (4),1 (5),Manchester City,,
2019-08-09,Premier League,Home,W,4,1,Norwich City,23,7
2019-08-14,Super Cup,Home,W,2 (5),2 (4),eng Chelsea,,
2019-08-17,Premier League,Away,W,2,1,Southampton,23,4
2019-08-24,Premier League,Home,W,3,1,Arsenal,36,5
2019-08-31,Premier League,Away,W,3,0,Burnley,26,5
2019-09-14,Premier League,Home,W,3,1,Newcastle Utd,32,4
2019-09-17,Champions Lg,Away,L,0,2,it Napoli,21,0
2019-09-22,Premier League,Away,W,2,1,Chelsea,11,4
2019-09-25,EFL Cup,Away,W,2,0,MK Dons,,
2019-09-28,Premier League,Away,W,1,0,Sheffield Utd,15,0
2019-10-02,Champions Lg,Home,W,4,3,at RB Salzburg,21,7
2019-10-05,Premier League,Home,W,2,1,Leicester City,32,3
2019-10-20,Premier League,Away,D,1,1,Manchester Utd,17,2
2019-10-23,Champions Lg,Away,W,4,1,be Genk,24,7
2019-10-27,Premier League,Home,W,2,1,Tottenham,32,1
2019-10-30,EFL Cup,Home,W,5 (5),5 (4),Arsenal,,
2019-11-02,Premier League,Away,W,2,1,Aston Villa,42,4
2019-11-05,Champions Lg,Home,W,2,1,be Genk,40,1
2019-11-10,Premier League,Home,W,3,1,Manchester City,16,4
2019-11-23,Premier League,Away,W,2,1,Crystal Palace,16,2
2019-11-27,Champions Lg,Home,D,1,1,it Napoli,18,1
2019-11-30,Premier League,Home,W,2,1,Brighton,19,3
2019-12-04,Premier League,Home,W,5,2,Everton,21,10
2019-12-07,Premier League,Away,W,3,0,Bournemouth,30,5
2019-12-10,Champions Lg,Away,W,2,0,at RB Salzburg,38,3
2019-12-14,Premier League,Home,W,2,0,Watford,15,3
2019-12-17,EFL Cup,Away,L,0,5,Aston Villa,,
2019-12-26,Premier League,Away,W,4,0,Leicester City,26,7
2019-12-29,Premier League,Home,W,1,0,Wolves,16,2
2020-01-02,Premier League,Home,W,2,0,Sheffield Utd,30,3
2020-01-05,FA Cup,Home,W,1,0,Everton,,
2020-01-11,Premier League,Away,W,1,0,Tottenham,23,2
2020-01-19,Premier League,Home,W,2,0,Manchester Utd,25,2
2020-01-23,Premier League,Away,W,2,1,Wolves,19,3
2020-01-26,FA Cup,Away,D,2,2,Shrewsbury,,
2020-01-29,Premier League,Away,W,2,0,West Ham,23,4
2020-02-01,Premier League,Home,W,4,0,Southampton,26,6
2020-02-04,FA Cup,Home,W,1,0,Shrewsbury,,
2020-02-15,Premier League,Away,W,1,0,Norwich City,29,2
2020-02-18,Champions Lg,Away,L,0,1,es Atlético Madrid,12,0
2020-02-24,Premier League,Home,W,3,2,West Ham,40,6
2020-02-29,Premier League,Away,L,0,3,Watford,13,0
2020-03-03,FA Cup,Away,L,0,2,Chelsea,,
2020-03-07,Premier League,Home,W,2,1,Bournemouth,24,4
2020-03-11,Champions Lg,Home,L,2,3,es Atlético Madrid,52,3
2020-06-21,Premier League,Away,D,0,0,Everton,20,0
2020-06-24,Premier League,Home,W,4,0,Crystal Palace,29,7
2020-07-02,Premier League,Away,L,0,4,Manchester City,18,0
2020-07-05,Premier League,Home,W,2,0,Aston Villa,11,4
2020-07-08,Premier League,Away,W,3,1,Brighton,34,5
2020-07-11,Premier League,Home,D,1,1,Burnley,36,2
2020-07-15,Premier League,Away,L,1,2,Arsenal,34,2
2020-07-22,Premier League,Home,W,5,3,Chelsea,14,7
2020-07-26,Premier League,Away,W,3,1,Newcastle Utd,19,6
