;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;RÃ©sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
16/08/2019;21:00;La Liga;JournÃ©e 1;Ven;ExtÃ©rieur;D;0;1;Athletic Club;607;708;85.7;11205;3067;272;298;91.3;238;264;90.2;84;117;71.8;0;0.3;7;54;7;2;33;Rapport de match
25/08/2019;21:00;La Liga;JournÃ©e 2;Dim;Domicile;V;5;2;Betis;749;830;90.2;13507;3491;343;365;94.0;296;321;92.2;94;115;81.7;5;1.8;20;74;24;5;60;Rapport de match
31/08/2019;17:00;La Liga;JournÃ©e 3;Sam;ExtÃ©rieur;N;2;2;Osasuna;669;775;86.3;11900;3107;314;339;92.6;261;296;88.2;78;110;70.9;2;0.3;7;63;9;2;48;Rapport de match
14/09/2019;21:00;La Liga;JournÃ©e 4;Sam;Domicile;V;5;2;Valencia;723;796;90.8;12184;2974;361;383;94.3;297;323;92.0;58;70;82.9;4;1.3;14;65;13;1;49;Rapport de match
17/09/2019;21:00;Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;N;0;0;de Dortmund;606;694;87.3;11826;3181;237;262;90.5;282;308;91.6;81;104;77.9;0;0.4;5;52;11;3;57;Rapport de match
21/09/2019;21:00;La Liga;JournÃ©e 5;Sam;ExtÃ©rieur;D;0;2;Granada;610;691;88.3;11260;2928;250;276;90.6;288;306;94.1;65;93;69.9;0;0.5;5;39;8;1;40;Rapport de match
24/09/2019;21:00;La Liga;JournÃ©e 6;Mar;Domicile;V;2;1;Villarreal;597;679;87.9;10838;3300;275;299;92.0;250;278;89.9;66;83;79.5;2;0.5;7;44;13;2;37;Rapport de match
28/09/2019;16:00;La Liga;JournÃ©e 7;Sam;ExtÃ©rieur;V;2;0;Getafe;398;485;82.1;8337;2765;148;168;88.1;163;182;89.6;76;108;70.4;1;0.8;7;30;2;0;25;Rapport de match
02/10/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;2;1;it Inter;719;797;90.2;12618;3272;326;355;91.8;304;322;94.4;76;94;80.9;2;1.2;13;64;16;1;51;Rapport de match
06/10/2019;21:00;La Liga;JournÃ©e 8;Dim;Domicile;V;4;0;Sevilla;533;591;90.2;9684;3041;237;247;96.0;223;239;93.3;63;85;74.1;3;1.6;10;30;8;1;32;Rapport de match
19/10/2019;13:00;La Liga;JournÃ©e 9;Sam;ExtÃ©rieur;V;3;0;Eibar;529;623;84.9;10118;3518;219;247;88.7;222;248;89.5;76;100;76.0;3;1.9;8;30;7;0;32;Rapport de match
23/10/2019;21:00;Champions Lg;Phase de groupe;Mer;ExtÃ©rieur;V;2;1;cz Slavia Prague;443;544;81.4;8696;2880;180;206;87.4;183;210;87.1;71;103;68.9;1;2.2;10;21;12;2;40;Rapport de match
29/10/2019;21:15;La Liga;JournÃ©e 11;Mar;Domicile;V;5;1;Valladolid;575;671;85.7;10073;3434;280;313;89.5;218;246;88.6;64;86;74.4;3;2.8;12;51;14;0;55;Rapport de match
02/11/2019;16:00;La Liga;JournÃ©e 12;Sam;ExtÃ©rieur;D;1;3;Levante;613;693;88.5;10603;2942;308;329;93.6;231;253;91.3;66;93;71.0;0;0.6;7;44;9;1;47;Rapport de match
05/11/2019;18:55;Champions Lg;Phase de groupe;Mar;Domicile;N;0;0;cz Slavia Prague;571;669;85.4;11040;2977;220;238;92.4;267;291;91.8;79;118;66.9;0;1.7;9;35;8;1;38;Rapport de match
09/11/2019;21:00;La Liga;JournÃ©e 13;Sam;Domicile;V;4;1;Celta Vigo;634;705;89.9;10482;3013;324;344;94.2;239;262;91.2;54;70;77.1;0;0.5;4;52;8;0;32;Rapport de match
23/11/2019;13:00;La Liga;JournÃ©e 14;Sam;ExtÃ©rieur;V;2;1;LeganÃ©s;685;798;85.8;12539;3382;294;322;91.3;308;342;90.1;73;98;74.5;1;0.9;10;64;10;3;37;Rapport de match
27/11/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;3;1;de Dortmund;554;632;87.7;10495;2942;219;248;88.3;247;268;92.2;79;97;81.4;3;2.0;9;45;12;1;49;Rapport de match
01/12/2019;21:00;La Liga;JournÃ©e 15;Dim;ExtÃ©rieur;V;1;0;AtlÃ©tico Madrid;634;724;87.6;12082;3066;265;290;91.4;270;302;89.4;90;108;83.3;1;1.1;10;59;11;0;46;Rapport de match
07/12/2019;21:00;La Liga;JournÃ©e 16;Sam;Domicile;V;5;2;Mallorca;674;746;90.3;11811;3603;311;339;91.7;264;281;94.0;77;94;81.9;5;3.1;22;57;25;0;69;Rapport de match
10/12/2019;21:00;Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;V;2;1;it Inter;613;716;85.6;10818;3040;300;335;89.6;230;255;90.2;70;102;68.6;1;0.6;13;35;5;1;37;Rapport de match
14/12/2019;16:00;La Liga;JournÃ©e 17;Sam;ExtÃ©rieur;N;2;2;Real Sociedad;461;541;85.2;8761;2875;204;222;91.9;183;203;90.1;65;92;70.7;2;2.0;9;40;10;1;37;Rapport de match
18/12/2019;20:00;La Liga;JournÃ©e 10;Mer;Domicile;N;0;0;Real Madrid;533;609;87.5;9853;3049;219;236;92.8;245;262;93.5;63;88;71.6;0;0.6;7;27;11;2;36;Rapport de match
21/12/2019;16:00;La Liga;JournÃ©e 18;Sam;Domicile;V;4;1;AlavÃ©s;721;805;89.6;13542;3705;297;321;92.5;325;345;94.2;90;115;78.3;3;0.5;6;62;17;3;58;Rapport de match
04/01/2020;21:00;La Liga;JournÃ©e 19;Sam;ExtÃ©rieur;N;2;2;Espanyol;673;750;89.7;12194;3458;311;334;93.1;273;293;93.2;78;99;78.8;2;1.5;10;46;8;2;48;Rapport de match
09/01/2020;20:00;Supercopa de EspaÃ±a;Demi-finales;Jeu;Domicile;D;2;3;AtlÃ©tico Madrid;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
19/01/2020;21:00;La Liga;JournÃ©e 20;Dim;Domicile;V;1;0;Granada;943;1028;91.7;15050;4136;488;518;94.2;377;396;95.2;51;62;82.3;1;1.3;14;63;16;1;66;Rapport de match
22/01/2020;19:00;Copa del Rey;SeiziÃ¨mes de finale;Mer;ExtÃ©rieur;V;2;1;UD Ibiza;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
25/01/2020;16:00;La Liga;JournÃ©e 21;Sam;ExtÃ©rieur;D;0;2;Valencia;814;877;92.8;14230;3302;378;401;94.3;342;364;94.0;77;86;89.5;0;0.6;8;77;16;3;46;Rapport de match
30/01/2020;19:00;Copa del Rey;HuitiÃ¨mes de finale;Jeu;Domicile;V;5;0;LeganÃ©s;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
02/02/2020;21:00;La Liga;JournÃ©e 22;Dim;Domicile;V;2;1;Levante;705;783;90.0;11642;3638;363;383;94.8;247;271;91.1;72;89;80.9;2;3.3;19;57;17;0;52;Rapport de match
06/02/2020;21:00;Copa del Rey;Quarts de finale;Jeu;ExtÃ©rieur;D;0;1;Athletic Club;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
09/02/2020;21:00;La Liga;JournÃ©e 23;Dim;ExtÃ©rieur;V;3;2;Betis;670;746;89.8;12489;3592;293;306;95.8;268;294;91.2;94;120;78.3;3;1.5;10;32;12;3;33;Rapport de match
15/02/2020;16:00;La Liga;JournÃ©e 24;Sam;Domicile;V;2;1;Getafe;620;718;86.4;10882;3458;272;301;90.4;263;281;93.6;65;99;65.7;1;1.4;10;31;6;0;30;Rapport de match
22/02/2020;16:00;La Liga;JournÃ©e 25;Sam;Domicile;V;5;0;Eibar;638;746;85.5;11762;3566;293;333;88.0;250;279;89.6;79;103;76.7;2;1.4;7;31;8;0;42;Rapport de match
25/02/2020;21:00;Champions Lg;HuitiÃ¨mes de finale;Mar;ExtÃ©rieur;N;1;1;it Napoli;751;836;89.8;13985;2945;296;328;90.2;360;379;95.0;83;108;76.9;1;1.0;6;80;9;2;31;Rapport de match
01/03/2020;21:00;La Liga;JournÃ©e 26;Dim;ExtÃ©rieur;D;0;2;Real Madrid;604;684;88.3;10237;2999;287;311;92.3;259;284;91.2;45;60;75.0;0;1.0;9;45;6;0;34;Rapport de match
07/03/2020;18:30;La Liga;JournÃ©e 27;Sam;Domicile;V;1;0;Real Sociedad;467;564;82.8;8077;2594;204;225;90.7;199;226;88.1;43;78;55.1;0;1.1;11;28;9;4;27;Rapport de match
13/06/2020;22:00;La Liga;JournÃ©e 28;Sam;ExtÃ©rieur;V;4;0;Mallorca;662;738;89.7;12428;3300;270;292;92.5;301;321;93.8;83;102;81.4;4;2.1;11;37;15;2;45;Rapport de match
16/06/2020;22:00;La Liga;JournÃ©e 29;Mar;Domicile;V;2;0;LeganÃ©s;819;899;91.1;15480;3871;328;362;90.6;380;398;95.5;100;119;84.0;1;0.6;6;60;10;1;45;Rapport de match
19/06/2020;22:00;La Liga;JournÃ©e 30;Ven;ExtÃ©rieur;N;0;0;Sevilla;660;770;85.7;12312;3400;278;310;89.7;287;321;89.4;81;112;72.3;0;0.5;6;61;9;2;44;Rapport de match
23/06/2020;22:00;La Liga;JournÃ©e 31;Mar;Domicile;V;1;0;Athletic Club;715;828;86.4;12893;3670;315;352;89.5;313;344;91.0;76;106;71.7;1;0.9;13;29;15;2;48;Rapport de match
27/06/2020;17:00;La Liga;JournÃ©e 32;Sam;ExtÃ©rieur;N;2;2;Celta Vigo;600;685;87.6;10886;3084;281;299;94.0;236;260;90.8;72;103;69.9;2;1.7;14;44;9;0;41;Rapport de match
30/06/2020;22:00;La Liga;JournÃ©e 33;Mar;Domicile;N;2;2;AtlÃ©tico Madrid;731;798;91.6;12697;3533;346;365;94.8;289;307;94.1;79;98;80.6;0;0.6;8;64;5;1;40;Rapport de match
05/07/2020;22:00;La Liga;JournÃ©e 34;Dim;ExtÃ©rieur;V;4;1;Villarreal;785;855;91.8;13964;3814;350;374;93.6;335;354;94.6;79;98;80.6;3;2.3;15;39;18;1;48;Rapport de match
08/07/2020;22:00;La Liga;JournÃ©e 35;Mer;Domicile;V;1;0;Espanyol;769;859;89.5;12839;3479;407;436;93.3;277;300;92.3;71;93;76.3;0;0.7;6;65;15;1;50;Rapport de match
11/07/2020;19:30;La Liga;JournÃ©e 36;Sam;ExtÃ©rieur;V;1;0;Valladolid;664;753;88.2;12116;3504;282;308;91.6;295;312;94.6;75;95;78.9;1;1.3;8;47;9;1;36;Rapport de match
16/07/2020;21:00;La Liga;JournÃ©e 37;Jeu;Domicile;D;1;2;Osasuna;773;869;89.0;13958;3662;354;387;91.5;310;341;90.9;92;112;82.1;0;1.1;13;81;18;0;52;Rapport de match
19/07/2020;17:00;La Liga;JournÃ©e 38;Dim;ExtÃ©rieur;V;5;0;AlavÃ©s;724;792;91.4;12451;3585;355;381;93.2;283;301;94.0;72;85;84.7;5;2.4;13;62;12;3;65;Rapport de match
08/08/2020;21:00;Champions Lg;HuitiÃ¨mes de finale;Sam;Domicile;V;3;1;it Napoli;559;620;90.2;9736;2878;257;272;94.5;247;260;95.0;46;67;68.7;1;0.4;5;24;8;0;22;Rapport de match
14/08/2020;20:00 (21:00);Champions Lg;Quarts de finale;Ven;Terrain neutre;D;2;8;de Bayern MÃ¼nchen;407;485;83.9;8053;2360;165;182;90.7;167;183;91.3;67;101;66.3;1;0.6;5;26;5;0;23;Rapport de match
;;;;;;32-10-9;110;56;;30204;34205;88.3;544633;153380;13576;14742;92.1;12592;13676;92.1;3438;4538;75.8;79;58.8;458;2266;525;62;2013;
