Pour Paris Saint-GermainContre Paris Saint-Germain;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;RÃ©sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
04/08/2018;20:00 (14:00);TrophÃ©e des Champions;TrophÃ©e des Champions;Sam;Terrain neutre;V;4;0;Monaco;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
12/08/2018;21:00;Ligue 1;JournÃ©e 1;Dim;Domicile;V;3;0;Caen;737;813;90.7;13356;3853;307;333;92.2;350;377;92.8;71;86;82.6;2;2.0;6;79;11;2;54;Rapport de match
18/08/2018;17:00;Ligue 1;JournÃ©e 2;Sam;ExtÃ©rieur;V;3;1;Guingamp;521;608;85.7;9509;3661;206;240;85.8;265;290;91.4;46;70;65.7;2;1.2;13;41;6;0;63;Rapport de match
25/08/2018;17:00;Ligue 1;JournÃ©e 3;Sam;Domicile;V;3;1;Angers;622;716;86.9;10577;3245;290;318;91.2;282;314;89.8;47;73;64.4;2;1.2;11;73;19;3;59;Rapport de match
01/09/2018;17:00;Ligue 1;JournÃ©e 4;Sam;ExtÃ©rieur;V;4;2;NÃ®mes;453;546;83.0;8869;2843;160;197;81.2;228;255;89.4;61;87;70.1;3;2.3;6;38;9;0;33;Rapport de match
14/09/2018;20:45;Ligue 1;JournÃ©e 5;Ven;Domicile;V;4;0;Saint-Ã‰tienne;616;699;88.1;11379;3654;262;283;92.6;277;309;89.6;74;95;77.9;2;1.2;14;56;16;1;64;Rapport de match
18/09/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;D;2;3;eng Liverpool;423;502;84.3;8354;2513;163;183;89.1;201;224;89.7;58;89;65.2;1;0.3;4;19;5;0;20;Rapport de match
23/09/2018;15:00;Ligue 1;JournÃ©e 6;Dim;ExtÃ©rieur;V;3;1;Rennes;502;581;86.4;8520;2739;266;284;93.7;190;215;88.4;45;71;63.4;3;1.0;11;40;10;1;43;Rapport de match
26/09/2018;21:00;Ligue 1;JournÃ©e 7;Mer;Domicile;V;4;1;Reims;677;759;89.2;12013;4020;298;324;92.0;306;332;92.2;60;84;71.4;1;1.7;10;68;17;1;71;Rapport de match
29/09/2018;17:15;Ligue 1;JournÃ©e 8;Sam;ExtÃ©rieur;V;3;0;Nice;533;612;87.1;9746;3480;247;276;89.5;218;241;90.5;66;81;81.5;2;2.0;15;42;4;0;46;Rapport de match
03/10/2018;18:55;Champions Lg;Phase de groupe;Mer;Domicile;V;6;1;rs Red Star;693;780;88.8;12103;3775;339;377;89.9;272;294;92.5;74;95;77.9;3;4.2;25;57;24;5;53;Rapport de match
07/10/2018;21:00;Ligue 1;JournÃ©e 9;Dim;Domicile;V;5;0;Lyon;401;475;84.4;6860;2536;191;208;91.8;163;187;87.2;39;65;60.0;2;2.8;10;27;8;1;36;Rapport de match
20/10/2018;17:00;Ligue 1;JournÃ©e 10;Sam;Domicile;V;5;0;Amiens;517;589;87.8;9986;2819;207;229;90.4;232;249;93.2;75;102;73.5;3;1.0;11;26;13;1;43;Rapport de match
24/10/2018;21:00;Champions Lg;Phase de groupe;Mer;Domicile;N;2;2;it Napoli;562;652;86.2;9530;2923;268;292;91.8;230;258;89.1;52;83;62.7;1;1.0;12;35;11;2;46;Rapport de match
28/10/2018;21:00;Ligue 1;JournÃ©e 11;Dim;ExtÃ©rieur;V;2;0;Marseille;455;526;86.5;8906;2796;175;194;90.2;206;222;92.8;63;93;67.7;2;0.7;11;26;8;1;45;Rapport de match
02/11/2018;20:45;Ligue 1;JournÃ©e 12;Ven;Domicile;V;2;1;Lille;597;685;87.2;11283;3433;234;270;86.7;267;293;91.1;85;102;83.3;1;1.2;9;67;11;0;63;Rapport de match
06/11/2018;21:00;Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;N;1;1;it Napoli;586;662;88.5;10412;3372;262;279;93.9;254;278;91.4;64;89;71.9;1;1.0;9;36;10;1;49;Rapport de match
11/11/2018;21:00;Ligue 1;JournÃ©e 13;Dim;ExtÃ©rieur;V;4;0;Monaco;547;621;88.1;10223;3475;233;259;90.0;237;260;91.2;71;89;79.8;3;2.2;11;37;14;2;50;Rapport de match
24/11/2018;17:00;Ligue 1;JournÃ©e 14;Sam;Domicile;V;1;0;Toulouse;666;770;86.5;11210;3460;325;358;90.8;286;313;91.4;51;83;61.4;1;1.4;7;70;16;0;63;Rapport de match
28/11/2018;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;2;1;eng Liverpool;354;432;81.9;6112;2225;179;194;92.3;131;153;85.6;35;64;54.7;1;1.0;6;16;3;0;21;Rapport de match
02/12/2018;21:00;Ligue 1;JournÃ©e 15;Dim;ExtÃ©rieur;N;2;2;Bordeaux;597;696;85.8;10880;3328;259;289;89.6;260;286;90.9;69;99;69.7;2;1.7;10;43;10;1;42;Rapport de match
05/12/2018;21:00;Ligue 1;JournÃ©e 16;Mer;ExtÃ©rieur;N;1;1;Strasbourg;581;677;85.8;10017;3012;282;310;91.0;242;262;92.4;50;85;58.8;0;0.8;12;59;24;7;51;Rapport de match
11/12/2018;21:00;Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;V;4;1;rs Red Star;628;715;87.8;11423;3448;273;299;91.3;272;290;93.8;75;109;68.8;4;2.4;13;35;12;1;46;Rapport de match
18/12/2018;21:00;Coupe de la Ligue;HuitiÃ¨mes de finale;Mar;ExtÃ©rieur;V;2;1;OrlÃ©ans;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
22/12/2018;21:00;Ligue 1;JournÃ©e 19;Sam;Domicile;V;1;0;Nantes;655;735;89.1;12081;3795;266;296;89.9;314;341;92.1;69;87;79.3;0;1.1;18;70;16;1;68;Rapport de match
06/01/2019;20:45;Coupe de France;Tableau de 64;Dim;ExtÃ©rieur;V;4;0;GSI Pontivy;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
09/01/2019;21:05;Coupe de la Ligue;Quarts de finale;Mer;Domicile;D;1;2;Guingamp;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
12/01/2019;17:00;Ligue 1;JournÃ©e 20;Sam;ExtÃ©rieur;V;3;0;Amiens;625;700;89.3;10665;3143;295;314;93.9;264;287;92.0;55;79;69.6;2;2.1;16;54;15;5;56;Rapport de match
19/01/2019;17:00;Ligue 1;JournÃ©e 21;Sam;Domicile;V;9;0;Guingamp;598;655;91.3;9563;3557;320;339;94.4;228;250;91.2;39;53;73.6;7;3.8;18;76;29;0;77;Rapport de match
23/01/2019;21:05;Coupe de France;SeiziÃ¨mes de finale;Mer;Domicile;V;2;0;Strasbourg;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
27/01/2019;21:00;Ligue 1;JournÃ©e 22;Dim;Domicile;V;4;1;Rennes;539;622;86.7;10494;3110;218;245;89.0;242;270;89.6;75;99;75.8;4;3.3;16;48;10;2;47;Rapport de match
03/02/2019;21:00;Ligue 1;JournÃ©e 23;Dim;ExtÃ©rieur;D;1;2;Lyon;511;609;83.9;9110;3148;254;278;91.4;196;221;88.7;55;92;59.8;1;1.6;11;38;9;1;38;Rapport de match
06/02/2019;18:30;Coupe de France;HuitiÃ¨mes de finale;Mer;ExtÃ©rieur;V;3;0;Villefranche;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
09/02/2019;17:00;Ligue 1;JournÃ©e 24;Sam;Domicile;V;1;0;Bordeaux;529;603;87.7;8571;3162;276;302;91.4;204;224;91.1;37;56;66.1;0;1.4;7;46;10;1;42;Rapport de match
12/02/2019;20:00 (21:00);Champions Lg;HuitiÃ¨mes de finale;Mar;ExtÃ©rieur;V;2;0;eng Manchester Utd;522;604;86.4;8914;2716;259;278;93.2;207;225;92.0;48;85;56.5;2;1.5;8;23;6;1;21;Rapport de match
17/02/2019;21:00;Ligue 1;JournÃ©e 25;Dim;ExtÃ©rieur;V;1;0;Saint-Ã‰tienne;541;619;87.4;9754;3116;237;252;94.0;255;276;92.4;45;69;65.2;1;1.2;9;37;11;1;39;Rapport de match
20/02/2019;21:00;Ligue 1;JournÃ©e 17;Mer;Domicile;V;5;1;Montpellier;666;748;89.0;10966;3409;347;376;92.3;264;285;92.6;50;70;71.4;2;3.1;14;63;17;3;66;Rapport de match
23/02/2019;17:00;Ligue 1;JournÃ©e 26;Sam;Domicile;V;3;0;NÃ®mes;610;694;87.9;11764;4005;230;253;90.9;286;315;90.8;86;111;77.5;3;3.5;18;46;14;1;64;Rapport de match
26/02/2019;21:10;Coupe de France;Quarts de finale;Mar;Domicile;V;3;0;Dijon;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
02/03/2019;17:00;Ligue 1;JournÃ©e 27;Sam;ExtÃ©rieur;V;2;1;Caen;545;646;84.4;9791;3158;244;261;93.5;238;273;87.2;56;94;59.6;0;2.1;12;57;17;4;56;Rapport de match
06/03/2019;21:00;Champions Lg;HuitiÃ¨mes de finale;Mer;Domicile;D;1;3;eng Manchester Utd;715;799;89.5;12598;3262;334;357;93.6;292;316;92.4;77;103;74.8;1;0.8;10;73;21;5;53;Rapport de match
12/03/2019;19:00;Ligue 1;JournÃ©e 18;Mar;ExtÃ©rieur;V;4;0;Dijon;647;716;90.4;11635;3804;303;321;94.4;267;287;93.0;73;97;75.3;3;1.9;14;41;12;1;45;Rapport de match
17/03/2019;21:00;Ligue 1;JournÃ©e 29;Dim;Domicile;V;3;1;Marseille;529;603;87.7;9426;2741;231;250;92.4;231;248;93.1;59;89;66.3;2;0.5;5;33;4;0;45;Rapport de match
31/03/2019;21:00;Ligue 1;JournÃ©e 30;Dim;ExtÃ©rieur;V;1;0;Toulouse;554;657;84.3;10460;3006;253;281;90.0;223;248;89.9;75;112;67.0;1;0.9;9;53;14;5;56;Rapport de match
03/04/2019;21:00;Coupe de France;Demi-finales;Mer;Domicile;V;3;0;Nantes;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
07/04/2019;21:00;Ligue 1;JournÃ©e 31;Dim;Domicile;N;2;2;Strasbourg;732;812;90.1;11720;3676;394;424;92.9;276;296;93.2;54;71;76.1;2;2.1;17;66;22;6;62;Rapport de match
14/04/2019;21:00;Ligue 1;JournÃ©e 32;Dim;ExtÃ©rieur;D;1;5;Lille;488;552;88.4;8373;2149;240;258;93.0;187;202;92.6;50;67;74.6;1;1.0;8;26;4;0;27;Rapport de match
17/04/2019;19:00;Ligue 1;JournÃ©e 28;Mer;ExtÃ©rieur;D;2;3;Nantes;607;690;88.0;10831;3549;273;297;91.9;269;293;91.8;53;76;69.7;2;0.9;9;52;11;2;50;Rapport de match
21/04/2019;21:00;Ligue 1;JournÃ©e 33;Dim;Domicile;V;3;1;Monaco;584;669;87.3;9827;3476;290;311;93.2;220;243;90.5;64;89;71.9;3;2.0;8;35;9;0;42;Rapport de match
