Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-08-06,14:00 (15:00),Community Shield,FA Community Shield,Sun,Neutral,W,1 (4),1 (1),Chelsea,,,,,,,,,,,,,,,1,,,,,,
2017-08-11,19:45 (20:45),Premier League,Matchweek 1,Fri,Home,W,4,3,Leicester City,546,659,82.9,10735,3159,226,260,86.9,234,265,88.3,83,113,73.5,4,2.1,26,57,15,3,50
2017-08-19,17:30 (18:30),Premier League,Matchweek 2,Sat,Away,L,0,1,Stoke City,639,745,85.8,12042,3714,249,274,90.9,294,320,91.9,84,125,67.2,0,1.1,15,65,22,5,72
2017-08-27,16:00 (17:00),Premier League,Matchweek 3,Sun,Away,L,0,4,Liverpool,444,554,80.1,8278,2588,181,211,85.8,201,233,86.3,54,93,58.1,0,0.6,6,35,11,0,38
2017-09-09,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,W,3,0,Bournemouth,483,614,78.7,9356,3103,183,223,82.1,223,261,85.4,66,112,58.9,3,1.1,12,40,13,2,42
2017-09-14,21:05 (22:05),Europa Lg,Group stage,Thu,Home,W,3,1,de Köln,,,,,,,,,,,,,,,1,,,,,,
2017-09-17,13:30 (14:30),Premier League,Matchweek 5,Sun,Away,D,0,0,Chelsea,408,532,76.7,7546,2578,185,220,84.1,157,198,79.3,56,95,58.9,0,0.6,7,31,6,1,28
2017-09-20,19:45 (20:45),EFL Cup,Third round,Wed,Home,W,1,0,Doncaster,,,,,,,,,,,,,,,1,,,,,,
2017-09-25,20:00 (21:00),Premier League,Matchweek 6,Mon,Home,W,2,0,West Brom,532,631,84.3,11161,3936,139,174,79.9,319,349,91.4,73,102,71.6,0,0.6,10,56,10,0,49
2017-09-28,20:00 (19:00),Europa Lg,Group stage,Thu,Away,W,4,2,by BATE Borisov,,,,,,,,,,,,,,,1,,,,,,
2017-10-01,12:00 (13:00),Premier League,Matchweek 7,Sun,Home,W,2,0,Brighton,608,705,86.2,10494,3063,289,324,89.2,237,268,88.4,63,86,73.3,1,1.5,17,54,14,1,46
2017-10-14,17:30 (18:30),Premier League,Matchweek 8,Sat,Away,L,1,2,Watford,452,566,79.9,9325,3086,161,187,86.1,204,239,85.4,75,116,64.7,1,1.0,9,38,7,0,45
2017-10-19,19:00,Europa Lg,Group stage,Thu,Away,W,1,0,rs Red Star,,,,,,,,,,,,,,,1,,,,,,
2017-10-22,13:30 (14:30),Premier League,Matchweek 9,Sun,Away,W,5,2,Everton,544,656,82.9,10789,3510,199,217,91.7,240,272,88.2,87,134,64.9,4,2.2,18,46,19,4,53
2017-10-24,19:45 (20:45),EFL Cup,Fourth round,Tue,Home,W,2,1,Norwich City,,,,,,,,,,,,,,,2,,,,,,
2017-10-28,15:00 (16:00),Premier League,Matchweek 10,Sat,Home,W,2,1,Swansea City,706,819,86.2,13625,3969,281,315,89.2,310,344,90.1,102,138,73.9,2,1.5,18,93,17,1,62
2017-11-02,20:05 (21:05),Europa Lg,Group stage,Thu,Home,D,0,0,rs Red Star,,,,,,,,,,,,,,,0,,,,,,
2017-11-05,14:15 (15:15),Premier League,Matchweek 11,Sun,Away,L,1,3,Manchester City,381,471,80.9,7341,2766,168,193,87.0,149,173,86.1,60,90,66.7,1,0.4,4,34,5,0,33
2017-11-18,12:30 (13:30),Premier League,Matchweek 12,Sat,Home,W,2,0,Tottenham,280,414,67.6,5633,2360,118,145,81.4,112,152,73.7,49,103,47.6,2,1.3,11,26,11,2,40
2017-11-23,19:00,Europa Lg,Group stage,Thu,Away,L,0,1,de Köln,,,,,,,,,,,,,,,0,,,,,,
2017-11-26,14:00 (15:00),Premier League,Matchweek 13,Sun,Away,W,1,0,Burnley,537,661,81.2,9606,2961,225,254,88.6,234,274,85.4,59,101,58.4,0,0.7,15,47,14,3,39
2017-11-29,19:45 (20:45),Premier League,Matchweek 14,Wed,Home,W,5,0,Huddersfield,702,810,86.7,14262,4363,215,249,86.3,358,399,89.7,114,139,82.0,5,2.3,17,57,21,3,81
2017-12-02,17:30 (18:30),Premier League,Matchweek 15,Sat,Home,L,1,3,Manchester Utd,572,696,82.2,10449,3623,237,265,89.4,257,304,84.5,66,98,67.3,1,2.5,25,54,34,2,86
2017-12-07,20:05 (21:05),Europa Lg,Group stage,Thu,Home,W,6,0,by BATE Borisov,,,,,,,,,,,,,,,2,,,,,,
2017-12-10,12:00 (13:00),Premier League,Matchweek 16,Sun,Away,D,1,1,Southampton,700,801,87.4,13582,3926,264,299,88.3,338,372,90.9,88,108,81.5,1,0.7,8,71,18,5,64
2017-12-13,20:00 (21:00),Premier League,Matchweek 17,Wed,Away,D,0,0,West Ham,633,747,84.7,11738,3502,250,281,89.0,255,285,89.5,94,131,71.8,0,0.8,14,59,20,3,65
2017-12-16,15:00 (16:00),Premier League,Matchweek 18,Sat,Home,W,1,0,Newcastle Utd,642,759,84.6,12806,3855,236,269,87.7,275,313,87.9,116,138,84.1,0,1.5,19,51,20,0,63
2017-12-19,19:45 (20:45),EFL Cup,Quarter-finals,Tue,Home,W,1,0,West Ham,,,,,,,,,,,,,,,1,,,,,,
2017-12-22,19:45 (20:45),Premier League,Matchweek 19,Fri,Home,D,3,3,Liverpool,381,518,73.6,7403,2504,138,168,82.1,178,216,82.4,59,111,53.2,3,0.7,9,26,13,3,46
2017-12-28,20:00 (21:00),Premier League,Matchweek 20,Thu,Away,W,3,2,Crystal Palace,563,684,82.3,10721,3415,231,258,89.5,249,284,87.7,78,116,67.2,2,1.2,10,54,17,2,55
2017-12-31,16:30 (17:30),Premier League,Matchweek 21,Sun,Away,D,1,1,West Brom,550,661,83.2,10749,3025,207,232,89.2,246,290,84.8,83,118,70.3,0,0.8,10,53,11,2,47
2018-01-03,19:45 (20:45),Premier League,Matchweek 22,Wed,Home,D,2,2,Chelsea,523,622,84.1,9244,3026,222,238,93.3,224,250,89.6,61,104,58.7,0,1.3,8,45,18,2,59
2018-01-07,16:00 (17:00),FA Cup,Third round,Sun,Away,L,2,4,Nott'ham Forest,,,,,,,,,,,,,,,0,,,,,,
2018-01-10,20:00 (21:00),EFL Cup,Semi-finals,Wed,Away,D,0,0,Chelsea,,,,,,,,,,,,,,,0,,,,,,
2018-01-14,13:30 (14:30),Premier League,Matchweek 23,Sun,Away,L,1,2,Bournemouth,422,570,74.0,7610,2640,180,217,82.9,180,222,81.1,52,108,48.1,1,1.1,10,32,6,0,44
2018-01-20,15:00 (16:00),Premier League,Matchweek 24,Sat,Home,W,4,1,Crystal Palace,655,743,88.2,12376,3695,273,302,90.4,291,316,92.1,84,105,80.0,4,2.4,13,52,19,1,58
2018-01-24,20:00 (21:00),EFL Cup,Semi-finals,Wed,Home,W,2,1,Chelsea,,,,,,,,,,,,,,,0,,,,,,
2018-01-30,19:45 (20:45),Premier League,Matchweek 25,Tue,Away,L,1,3,Swansea City,851,933,91.2,16132,3920,361,394,91.6,371,388,95.6,112,135,83.0,1,0.9,6,83,16,2,63
2018-02-03,17:30 (18:30),Premier League,Matchweek 26,Sat,Home,W,5,1,Everton,494,582,84.9,8818,2961,248,272,91.2,193,210,91.9,51,88,58.0,5,1.8,12,31,10,2,32
2018-02-10,12:30 (13:30),Premier League,Matchweek 27,Sat,Away,L,0,1,Tottenham,396,504,78.6,7648,2466,164,187,87.7,163,200,81.5,61,102,59.8,0,0.3,4,37,7,1,30
2018-02-15,19:00,Europa Lg,Round of 32,Thu,Neutral,W,3,0,se Östersund,,,,,,,,,,,,,,,2,,,,,,
2018-02-22,20:05 (21:05),Europa Lg,Round of 32,Thu,Neutral,L,1,2,se Östersund,,,,,,,,,,,,,,,1,,,,,,
2018-02-25,16:30 (17:30),EFL Cup,Final,Sun,Home,L,0,3,Manchester City,,,,,,,,,,,,,,,0,,,,,,
2018-03-01,19:45 (20:45),Premier League,Matchweek 28,Thu,Home,L,0,3,Manchester City,448,573,78.2,8651,2664,175,209,83.7,193,224,86.2,68,110,61.8,0,0.5,6,32,5,1,38
2018-03-04,13:30 (14:30),Premier League,Matchweek 29,Sun,Away,L,1,2,Brighton,553,658,84.0,10144,3117,246,277,88.8,220,242,90.9,76,116,65.5,1,1.1,11,37,15,4,49
