Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-08-12,21:00 (22:00),Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,,,,,,,,,,,,,,,1,,,,,,
2018-08-18,22:15,La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,792,890,89.0,14448,3856,378,409,92.4,309,350,88.3,97,114,85.1,2,2.3,16,96,27,5,65
2018-08-25,22:15,La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,511,615,83.1,9794,3454,195,222,87.8,245,278,88.1,66,96,68.8,1,0.7,7,43,20,1,62
2018-09-02,18:30,La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,642,708,90.7,11302,3444,296,313,94.6,274,297,92.3,65,80,81.3,6,3.5,22,51,23,1,67
2018-09-15,16:15,La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,697,793,87.9,12800,3397,316,349,90.5,285,310,91.9,89,115,77.4,1,1.1,10,55,10,2,48
2018-09-18,18:55,Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,741,826,89.7,13603,3963,327,357,91.6,309,336,92.0,93,113,82.3,3,1.5,15,72,14,1,65
2018-09-23,20:45,La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,701,768,91.3,11724,3172,351,371,94.6,285,307,92.8,56,73,76.7,1,1.0,15,77,10,2,44
2018-09-26,20:00,La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,758,855,88.7,13881,4048,345,383,90.1,310,339,91.4,92,115,80.0,1,0.3,7,60,10,2,54
2018-09-29,16:15,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,603,720,83.8,10697,3575,269,307,87.6,248,287,86.4,72,100,72.0,1,2.2,14,37,13,1,50
2018-10-03,20:00 (21:00),Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,625,711,87.9,11418,3425,278,300,92.7,252,271,93.0,82,116,70.7,4,1.5,14,34,12,2,38
2018-10-07,20:45,La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,937,1032,90.8,16126,4005,449,482,93.2,401,432,92.8,80,96,83.3,1,0.3,7,81,19,1,70
2018-10-20,20:45,La Liga,Matchweek 9,Sat,Home,W,4,2,Sevilla,448,520,86.2,7846,2919,217,236,91.9,180,200,90.0,45,70,64.3,2,1.7,20,19,4,0,33
2018-10-24,21:00,Champions Lg,Group stage,Wed,Home,W,2,0,it Inter,716,806,88.8,12385,3559,353,378,93.4,273,298,91.6,76,108,70.4,2,1.2,14,52,9,2,47
