Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-03,20:30,DFL-Supercup,DFL-Supercup,Sat,Neutral,L,0,2,Dortmund,,,,,,,,,,,,,,,0,,,,,,
2019-08-12,20:45,DFB-Pokal,First round,Mon,Away,W,3,1,Energie Cottbus,,,,,,,,,,,,,,,2,,,,,,
2019-08-16,20:30,Bundesliga,Matchweek 1,Fri,Home,D,2,2,Hertha BSC,643,738,87.1,12495,3694,242,257,94.2,316,352,89.8,81,110,73.6,1,1.6,14,49,19,2,70
2019-08-24,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3,0,Schalke 04,655,749,87.4,13204,3988,255,276,92.4,288,316,91.1,105,133,78.9,1,0.6,7,47,8,1,45
2019-08-31,15:30,Bundesliga,Matchweek 3,Sat,Home,W,6,1,Mainz 05,620,709,87.4,12305,3462,223,249,89.6,311,333,93.4,83,117,70.9,5,2.1,14,48,13,8,59
2019-09-14,18:30,Bundesliga,Matchweek 4,Sat,Away,D,1,1,RB Leipzig,717,825,86.9,13847,3955,265,298,88.9,344,371,92.7,98,133,73.7,1,1.4,12,46,11,2,47
2019-09-18,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,rs Red Star,730,836,87.3,14586,4061,285,313,91.1,338,375,90.1,103,131,78.6,2,2.0,21,69,31,8,74
2019-09-21,15:30,Bundesliga,Matchweek 5,Sat,Home,W,4,0,Köln,509,599,85.0,10102,3191,215,238,90.3,206,236,87.3,84,115,73.0,3,1.4,17,40,12,1,46
2019-09-28,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3,2,Paderborn 07,586,684,85.7,11869,3524,201,225,89.3,302,327,92.4,80,117,68.4,3,2.9,12,42,16,3,44
2019-10-01,20:00 (21:00),Champions Lg,Group stage,Tue,Away,W,7,2,eng Tottenham,516,603,85.6,10554,3060,184,205,89.8,223,247,90.3,98,130,75.4,6,1.3,13,39,8,1,41
