Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-08-05,15:00 (16:00),Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,,,,,,,,,,,,,,,0,,,,,,
2018-08-11,15:00 (16:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,597,682,87.5,11810,3749,214,238,89.9,302,328,92.1,78,105,74.3,2,0.7,7,44,8,2,47
2018-08-18,17:30 (18:30),Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,639,732,87.3,11221,3155,303,326,92.9,245,273,89.7,74,111,66.7,3,2.1,19,56,8,2,44
2018-08-26,16:00 (17:00),Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,830,931,89.2,12949,3309,468,504,92.9,298,332,89.8,53,77,68.8,0,0.7,14,74,16,0,54
2018-09-01,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,633,747,84.7,11091,3412,304,332,91.6,270,308,87.7,55,99,55.6,2,1.1,19,43,17,1,56
2018-09-15,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,698,795,87.8,12513,4011,334,376,88.8,285,309,92.2,73,102,71.6,2,1.4,15,64,12,3,67
2018-09-20,19:55 (18:55),Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,658,744,88.4,12431,3531,277,304,91.1,282,311,90.7,92,117,78.6,1,1.8,18,35,13,3,44
2018-09-23,13:30 (14:30),Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,688,816,84.3,12502,4222,297,331,89.7,316,356,88.8,69,102,67.6,0,1.5,14,89,20,4,80
2018-09-26,19:45 (20:45),EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,,,,,,,,,,,,,,,1,,,,,,
2018-09-29,17:30 (18:30),Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,470,577,81.5,9233,3369,177,211,83.9,231,264,87.5,60,97,61.9,1,1.2,8,30,4,1,20
2018-10-04,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,661,752,87.9,11955,3690,324,350,92.6,251,273,91.9,82,112,73.2,0,2.5,22,63,14,3,53
2018-10-07,14:15 (15:15),Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,606,697,86.9,10654,3613,287,313,91.7,241,265,90.9,65,92,70.7,3,2.5,16,41,18,0,53
2018-10-20,12:30 (13:30),Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,568,651,87.3,9775,3295,263,284,92.6,234,250,93.6,63,101,62.4,1,0.8,16,49,10,2,49
2018-10-25,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,750,828,90.6,12548,4045,372,397,93.7,306,330,92.7,64,83,77.1,2,1.0,15,48,12,3,51
2018-10-28,13:30 (14:30),Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,740,811,91.2,12661,3708,372,390,95.4,296,314,94.3,61,83,73.5,3,2.4,18,30,9,3,32
2018-10-31,19:45 (20:45),EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,,,,,,,,,,,,,,,1,,,,,,
2018-11-04,16:00 (17:00),Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,816,910,89.7,15263,4206,344,367,93.7,353,388,91.0,110,137,80.3,3,1.6,15,59,11,2,52
2018-11-08,20:55 (18:55),Europa Lg,Group stage,Thu,Away,W,1,0,by BATE Borisov,782,881,88.8,13293,3812,402,439,91.6,283,312,90.7,83,106,78.3,1,0.9,15,82,18,3,58
2018-11-11,14:15 (15:15),Premier League,Matchweek 12,Sun,Home,D,0,0,Everton,636,733,86.8,11494,3543,291,315,92.4,269,293,91.8,68,109,62.4,0,0.8,9,50,9,2,64
2018-11-24,17:30 (18:30),Premier League,Matchweek 13,Sat,Away,L,1,3,Tottenham,490,594,82.5,9496,3497,218,252,86.5,186,216,86.1,78,110,70.9,1,0.9,10,38,12,5,46
2018-11-29,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,4,0,gr PAOK,604,671,90.0,11609,3301,255,271,94.1,240,266,90.2,97,114,85.1,4,2.1,22,68,15,2,68
2018-12-02,12:00 (13:00),Premier League,Matchweek 14,Sun,Home,W,2,0,Fulham,657,750,87.6,12926,3695,268,291,92.1,283,316,89.6,102,132,77.3,2,1.0,8,47,7,0,52
