Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-08-13,20:45,Supercoppa Italiana,Supercoppa Italiana,Sun,Neutral,L,2,3,Lazio,,,,,,,,,,,,,,,0,,,,,,
2017-08-19,18:00,Serie A,Matchweek 1,Sat,Home,W,3,0,Cagliari,633,726,87.2,12696,3636,235,269,87.4,294,312,94.2,101,137,73.7,3,0.9,13,39,15,3,47
2017-08-26,18:00,Serie A,Matchweek 2,Sat,Away,W,4,2,Genoa,557,647,86.1,11004,3471,184,211,87.2,300,321,93.5,72,104,69.2,3,0.6,9,37,11,2,41
2017-09-09,18:00,Serie A,Matchweek 3,Sat,Home,W,3,0,Chievo,508,590,86.1,11042,3132,177,196,90.3,223,244,91.4,103,136,75.7,2,1.3,13,24,8,1,38
2017-09-12,20:45,Champions Lg,Group stage,Tue,Away,L,0,3,es Barcelona,,,,,,,,,,,,,,,0,,,,,,
2017-09-17,12:30,Serie A,Matchweek 4,Sun,Away,W,3,1,Sassuolo,548,649,84.4,11366,3147,189,217,87.1,261,290,90.0,97,135,71.9,2,0.7,11,47,4,2,29
2017-09-20,20:45,Serie A,Matchweek 5,Wed,Home,W,1,0,Fiorentina,557,645,86.4,12279,3104,163,181,90.1,285,303,94.1,106,144,73.6,1,0.8,10,60,8,4,38
2017-09-23,20:45,Serie A,Matchweek 6,Sat,Home,W,4,0,Torino,678,744,91.1,13902,3553,245,264,92.8,295,316,93.4,128,144,88.9,4,1.6,17,49,17,5,49
2017-09-27,20:45,Champions Lg,Group stage,Wed,Home,W,2,0,gr Olympiacos,,,,,,,,,,,,,,,0,,,,,,
2017-10-01,20:45,Serie A,Matchweek 7,Sun,Away,D,2,2,Atalanta,512,608,84.2,10645,3407,168,189,88.9,250,279,89.6,91,127,71.7,1,1.0,12,37,7,2,50
2017-10-14,18:00,Serie A,Matchweek 8,Sat,Home,L,1,2,Lazio,563,656,85.8,11500,2948,187,212,88.2,285,311,91.6,85,121,70.2,0,0.8,13,61,15,3,56
2017-10-18,20:45,Champions Lg,Group stage,Wed,Home,W,2,1,pt Sporting CP,,,,,,,,,,,,,,,1,,,,,,
2017-10-22,18:00,Serie A,Matchweek 9,Sun,Away,W,6,2,Udinese,303,373,81.2,6362,2391,114,126,90.5,116,135,85.9,64,91,70.3,5,1.1,12,23,6,3,27
2017-10-25,20:45,Serie A,Matchweek 10,Wed,Home,W,4,1,SPAL,684,783,87.4,12964,3300,265,296,89.5,314,344,91.3,93,119,78.2,2,1.0,14,40,13,4,54
2017-10-28,18:00,Serie A,Matchweek 11,Sat,Away,W,2,0,Milan,365,458,79.7,7118,2391,156,183,85.2,155,187,82.9,51,79,64.6,2,0.6,7,25,4,2,27
2017-10-31,19:45 (20:45),Champions Lg,Group stage,Tue,Away,D,1,1,pt Sporting CP,,,,,,,,,,,,,,,1,,,,,,
2017-11-05,15:00,Serie A,Matchweek 12,Sun,Home,W,2,1,Benevento,608,684,88.9,12597,3096,227,243,93.4,270,299,90.3,108,134,80.6,2,1.8,16,74,14,6,55
2017-11-19,15:00,Serie A,Matchweek 13,Sun,Away,L,2,3,Sampdoria,476,572,83.2,10182,3219,141,170,82.9,252,285,88.4,80,110,72.7,1,2.3,18,34,10,1,46
2017-11-22,20:45,Champions Lg,Group stage,Wed,Home,D,0,0,es Barcelona,,,,,,,,,,,,,,,0,,,,,,
2017-11-26,20:45,Serie A,Matchweek 14,Sun,Home,W,3,0,Crotone,816,925,88.2,15279,4180,335,371,90.3,374,403,92.8,101,129,78.3,1,1.3,18,79,18,8,64
2017-12-01,20:45,Serie A,Matchweek 15,Fri,Away,W,1,0,Napoli,294,394,74.6,5584,1674,112,128,87.5,131,151,86.8,41,89,46.1,1,0.4,4,9,4,0,17
2017-12-05,21:45 (20:45),Champions Lg,Group stage,Tue,Away,W,2,0,gr Olympiacos,,,,,,,,,,,,,,,2,,,,,,
2017-12-09,20:45,Serie A,Matchweek 16,Sat,Home,D,0,0,Inter,466,558,83.5,10044,3061,155,168,92.3,206,231,89.2,99,140,70.7,0,0.5,11,47,11,6,40
2017-12-17,15:00,Serie A,Matchweek 17,Sun,Away,W,3,0,Bologna,563,665,84.7,11243,3386,190,205,92.7,285,316,90.2,83,120,69.2,1,0.8,9,41,11,3,37
