Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-08-12,12:30 (13:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,369,505,73.1,7714,2721,119,148,80.4,183,219,83.6,61,116,52.6,2,1.3,10,22,11,1,30
2017-08-15,20:45,Champions Lg,Play-off Round,Tue,Away,W,2,1,de Hoffenheim,,,,,,,,,,,,,,,0,,,,,,
2017-08-19,15:00 (16:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,616,739,83.4,12019,3651,229,260,88.1,286,324,88.3,90,128,70.3,0,1.3,14,61,13,4,56
2017-08-23,19:45 (20:45),Champions Lg,Play-off Round,Wed,Home,W,4,2,de Hoffenheim,,,,,,,,,,,,,,,3,,,,,,
2017-08-27,16:00 (17:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,424,529,80.2,8403,2502,146,168,86.9,218,244,89.3,54,104,51.9,3,1.7,14,34,12,4,33
2017-09-09,12:30 (13:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,309,405,76.3,5946,1988,117,140,83.6,143,167,85.6,42,83,50.6,0,0.6,3,14,5,0,20
2017-09-13,19:45 (20:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,,,,,,,,,,,,,,,1,,,,,,
2017-09-16,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,598,715,83.6,10783,3617,252,270,93.3,263,301,87.4,67,110,60.9,1,2.1,32,49,20,4,71
2017-09-19,19:45 (20:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,,,,,,,,,,,,,,,0,,,,,,
2017-09-23,17:30 (18:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,358,519,69.0,6750,2724,151,194,77.8,153,207,73.9,48,98,49.0,2,1.3,19,36,12,2,44
