Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-08-05,15:00 (16:00),Community Shield,FA Community Shield,Sun,Neutral,W,2,0,Chelsea,,,,,,,,,,,,,,,2,,,,,,
2018-08-12,16:00 (17:00),Premier League,Matchweek 1,Sun,Away,W,2,0,Arsenal,462,562,82.2,8797,2927,191,221,86.4,213,241,88.4,56,95,58.9,2,0.8,11,28,8,0,30
2018-08-19,13:30 (14:30),Premier League,Matchweek 2,Sun,Home,W,6,1,Huddersfield,722,798,90.5,14453,4083,262,280,93.6,338,362,93.4,118,142,83.1,2,2.3,26,92,19,2,68
2018-08-25,12:30 (13:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Wolves,584,677,86.3,11140,3179,208,235,88.5,306,335,91.3,67,99,67.7,1,1.2,14,49,20,3,59
2018-09-01,17:30 (18:30),Premier League,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,716,811,88.3,13292,3857,267,296,90.2,362,395,91.6,76,101,75.2,2,1.9,16,65,12,2,61
2018-09-15,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,W,3,0,Fulham,694,777,89.3,13879,4298,243,268,90.7,349,383,91.1,100,119,84.0,2,3.8,22,66,27,4,67
2018-09-19,20:00 (21:00),Champions Lg,Group stage,Wed,Home,L,1,2,fr Lyon,662,757,87.5,12848,3988,267,299,89.3,300,328,91.5,92,118,78.0,1,1.3,16,50,21,2,72
2018-09-22,15:00 (16:00),Premier League,Matchweek 6,Sat,Away,W,5,0,Cardiff City,763,859,88.8,14555,3628,283,304,93.1,372,406,91.6,98,132,74.2,4,1.8,14,49,15,3,51
2018-09-25,19:45 (20:45),EFL Cup,Third round,Tue,Away,W,3,0,Oxford United,,,,,,,,,,,,,,,2,,,,,,
2018-09-29,15:00 (16:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,814,900,90.4,14304,3721,358,377,95.0,374,403,92.8,74,104,71.2,2,2.4,22,80,25,5,68
2018-10-02,18:55,Champions Lg,Group stage,Tue,Away,W,2,1,de Hoffenheim,618,703,87.9,11903,3300,219,240,91.3,310,344,90.1,83,106,78.3,0,1.9,11,65,10,0,48
2018-10-07,16:30 (17:30),Premier League,Matchweek 8,Sun,Away,D,0,0,Liverpool,463,576,80.4,8751,2728,186,213,87.3,206,240,85.8,63,103,61.2,0,0.2,3,22,6,0,32
2018-10-20,15:00 (16:00),Premier League,Matchweek 9,Sat,Home,W,5,0,Burnley,626,710,88.2,12291,3759,237,260,91.2,291,312,93.3,94,124,75.8,4,2.5,19,53,21,6,57
