Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-08-10,20:00 (21:00),Premier League,Matchweek 1,Fri,Home,W,2,1,Leicester City,397,501,79.2,6567,2357,243,273,89.0,114,148,77.0,37,71,52.1,1,0.8,7,35,2,0,22
2018-08-19,16:00 (17:00),Premier League,Matchweek 2,Sun,Away,L,2,3,Brighton,517,624,82.9,10415,3503,184,212,86.8,244,273,89.4,83,118,70.3,0,0.3,5,33,7,0,43
2018-08-27,20:00 (21:00),Premier League,Matchweek 3,Mon,Home,L,0,3,Tottenham,403,527,76.5,8360,3260,164,199,82.4,159,197,80.7,76,119,63.9,0,1.4,18,38,13,5,59
2018-09-02,16:00 (17:00),Premier League,Matchweek 4,Sun,Away,W,2,0,Burnley,466,560,83.2,9203,2909,217,243,89.3,172,193,89.1,72,110,65.5,1,2.2,18,39,16,4,44
2018-09-15,17:30 (18:30),Premier League,Matchweek 5,Sat,Away,W,2,1,Watford,447,567,78.8,9214,3275,180,202,89.1,182,221,82.4,80,123,65.0,1,1.2,7,41,8,1,44
2018-09-19,21:00,Champions Lg,Group stage,Wed,Away,W,3,0,ch Young Boys,468,565,82.8,8849,3218,209,230,90.9,194,227,85.5,60,96,62.5,2,1.3,12,40,8,2,42
2018-09-22,15:00 (16:00),Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,605,722,83.8,11666,3745,259,285,90.9,250,288,86.8,88,133,66.2,1,0.5,9,53,14,2,56
2018-09-25,20:00 (21:00),EFL Cup,Third round,Tue,Home,L,2 (7),2 (8),Derby County,,,,,,,,,,,,,,,1,,,,,,
2018-09-29,12:30 (13:30),Premier League,Matchweek 7,Sat,Away,L,1,3,West Ham,422,522,80.8,8083,2981,179,198,90.4,168,205,82.0,69,109,63.3,1,0.4,8,49,7,5,44
2018-10-02,20:00 (21:00),Champions Lg,Group stage,Tue,Home,D,0,0,es Valencia,439,550,79.8,8387,3058,200,226,88.5,174,206,84.5,63,103,61.2,0,0.5,9,34,11,2,45
2018-10-06,17:30 (18:30),Premier League,Matchweek 8,Sat,Home,W,3,2,Newcastle Utd,556,694,80.1,11210,3868,196,226,86.7,261,305,85.6,89,133,66.9,2,1.4,15,49,18,8,63
2018-10-20,12:30 (13:30),Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,296,398,74.4,5930,2402,126,145,86.9,125,153,81.7,43,88,48.9,1,0.5,4,20,9,1,30
2018-10-23,20:00 (21:00),Champions Lg,Group stage,Tue,Home,L,0,1,it Juventus,358,454,78.9,6319,2085,171,197,86.8,140,165,84.8,39,78,50.0,0,0.1,4,33,7,3,40
2018-10-28,16:00 (17:00),Premier League,Matchweek 10,Sun,Home,W,2,1,Everton,416,522,79.7,7708,2737,211,236,89.4,140,170,82.4,58,99,58.6,1,1.1,12,35,11,2,36
2018-11-03,12:30 (13:30),Premier League,Matchweek 11,Sat,Away,W,2,1,Bournemouth,369,487,75.8,7421,2937,148,167,88.6,162,203,79.8,56,110,50.9,1,2.1,12,29,12,2,47
2018-11-07,21:00,Champions Lg,Group stage,Wed,Away,W,2,1,it Juventus,376,445,84.5,6928,2149,180,198,90.9,148,164,90.2,43,69,62.3,0,0.8,7,20,6,2,31
2018-11-11,16:30 (17:30),Premier League,Matchweek 12,Sun,Away,L,1,3,Manchester City,332,403,82.4,6273,2396,155,172,90.1,118,132,89.4,51,78,65.4,0,0.3,4,13,6,1,24
2018-11-24,15:00 (16:00),Premier League,Matchweek 13,Sat,Home,D,0,0,Crystal Palace,450,564,79.8,9264,3407,196,229,85.6,165,197,83.8,85,121,70.2,0,1.3,10,54,14,4,43
