Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-07-29,20:00 (21:00),Trophée des Champions,Trophée des Champions,Sat,Neutral,W,2,1,Monaco,,,,,,,,,,,,,,,1,,,,,,
2017-08-05,17:15,Ligue 1,Matchweek 1,Sat,Home,W,2,0,Amiens,652,744,87.6,11139,3907,311,345,90.1,261,290,90.0,65,85,76.5,2,2.1,14,48,23,3,58
2017-08-13,21:00,Ligue 1,Matchweek 2,Sun,Away,W,3,0,Guingamp,729,818,89.1,11273,4046,418,451,92.7,246,281,87.5,53,67,79.1,2,2.3,17,62,16,0,70
2017-08-20,21:00,Ligue 1,Matchweek 3,Sun,Home,W,6,2,Toulouse,580,681,85.2,8823,3167,313,346,90.5,193,220,87.7,45,63,71.4,3,1.4,15,55,20,2,63
2017-08-25,20:45,Ligue 1,Matchweek 4,Fri,Home,W,3,0,Saint-Étienne,539,615,87.6,10241,2841,224,246,91.1,241,262,92.0,69,87,79.3,2,1.0,8,45,8,1,41
2017-09-08,20:45,Ligue 1,Matchweek 5,Fri,Away,W,5,1,Metz,612,691,88.6,10952,3679,263,290,90.7,260,284,91.5,67,86,77.9,3,2.9,19,76,15,1,64
2017-09-12,19:45 (20:45),Champions Lg,Group stage,Tue,Away,W,5,0,sco Celtic,,,,,,,,,,,,,,,3,,,,,,
2017-09-17,21:00,Ligue 1,Matchweek 6,Sun,Home,W,2,0,Lyon,616,706,87.3,11575,3454,248,275,90.2,261,285,91.6,91,119,76.5,0,1.2,9,66,16,2,50
2017-09-23,17:00,Ligue 1,Matchweek 7,Sat,Away,D,0,0,Montpellier,608,697,87.2,12352,3368,209,228,91.7,310,336,92.3,87,119,73.1,0,0.7,9,44,14,2,52
2017-09-27,20:45,Champions Lg,Group stage,Wed,Home,W,3,0,de Bayern Munich,,,,,,,,,,,,,,,2,,,,,,
2017-09-30,17:00,Ligue 1,Matchweek 8,Sat,Home,W,6,2,Bordeaux,597,662,90.2,9971,3113,302,332,91.0,237,255,92.9,49,61,80.3,4,0.9,8,36,8,1,47
2017-10-14,17:00,Ligue 1,Matchweek 9,Sat,Away,W,2,1,Dijon,490,579,84.6,9143,2893,211,233,90.6,208,236,88.1,65,100,65.0,1,1.7,10,43,16,3,50
2017-10-18,20:45,Champions Lg,Group stage,Wed,Away,W,4,0,be Anderlecht,,,,,,,,,,,,,,,2,,,,,,
2017-10-22,21:00,Ligue 1,Matchweek 10,Sun,Away,D,2,2,Marseille,513,593,86.5,8654,2697,262,284,92.3,191,220,86.8,46,64,71.9,1,0.1,3,47,7,3,39
2017-10-27,20:45,Ligue 1,Matchweek 11,Fri,Home,W,3,0,Nice,732,817,89.6,12632,3150,369,394,93.7,270,290,93.1,83,106,78.3,2,2.8,14,48,9,1,37
2017-10-31,20:45,Champions Lg,Group stage,Tue,Home,W,5,0,be Anderlecht,,,,,,,,,,,,,,,4,,,,,,
2017-11-04,17:00,Ligue 1,Matchweek 12,Sat,Away,W,5,0,Angers,694,769,90.2,12428,3554,284,315,90.2,305,324,94.1,82,99,82.8,5,2.3,11,50,15,3,58
2017-11-18,17:00,Ligue 1,Matchweek 13,Sat,Home,W,4,1,Nantes,637,731,87.1,11494,3829,267,291,91.8,287,322,89.1,69,87,79.3,3,1.1,17,48,12,0,53
2017-11-22,20:45,Champions Lg,Group stage,Wed,Home,W,7,1,sco Celtic,,,,,,,,,,,,,,,6,,,,,,
2017-11-26,21:00,Ligue 1,Matchweek 14,Sun,Away,W,2,1,Monaco,558,664,84.0,9840,3157,273,308,88.6,215,239,90.0,61,97,62.9,1,2.6,13,36,11,0,45
2017-11-29,21:00,Ligue 1,Matchweek 15,Wed,Home,W,2,0,Troyes,550,656,83.8,8700,2661,287,317,90.5,237,278,85.3,23,50,46.0,1,0.7,13,47,8,0,40
2017-12-02,17:00,Ligue 1,Matchweek 16,Sat,Away,L,1,2,Strasbourg,526,629,83.6,8671,2737,233,255,91.4,225,256,87.9,45,79,57.0,1,2.0,20,54,18,4,53
2017-12-05,20:45,Champions Lg,Group stage,Tue,Away,L,1,3,de Bayern Munich,,,,,,,,,,,,,,,1,,,,,,
2017-12-09,17:00,Ligue 1,Matchweek 17,Sat,Home,W,3,1,Lille,533,625,85.3,9393,2815,230,258,89.1,231,258,89.5,54,76,71.1,3,1.7,10,35,11,1,53
2017-12-13,21:05,Coupe de la Ligue,Round of 16,Wed,Away,W,4,2,Strasbourg,,,,,,,,,,,,,,,2,,,,,,
2017-12-16,17:00,Ligue 1,Matchweek 18,Sat,Away,W,4,1,Rennes,587,668,87.9,9594,2800,303,326,92.9,217,240,90.4,53,74,71.6,4,4.0,20,35,20,2,51
2017-12-20,20:50,Ligue 1,Matchweek 19,Wed,Home,W,3,1,Caen,575,659,87.3,10560,3847,206,245,84.1,287,310,92.6,62,77,80.5,3,2.5,17,47,20,4,61
2018-01-07,21:00,Coupe de France,Round of 64,Sun,Away,W,6,1,Rennes,,,,,,,,,,,,,,,6,,,,,,
