Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-17,17:00,La Liga,Matchweek 1,Sat,Away,W,3,1,Celta Vigo,372,451,82.5,6686,2237,188,201,93.5,105,118,89.0,57,99,57.6,3,1.6,14,21,7,2,21
2019-08-24,19:00,La Liga,Matchweek 2,Sat,Home,D,1,1,Valladolid,618,695,88.9,11951,3724,285,304,93.8,230,256,89.8,100,124,80.6,1,1.1,20,58,24,10,49
2019-09-01,21:00,La Liga,Matchweek 3,Sun,Away,D,2,2,Villarreal,525,609,86.2,10258,3207,222,239,92.9,213,241,88.4,83,116,71.6,2,1.6,13,55,10,4,62
2019-09-14,13:00,La Liga,Matchweek 4,Sat,Home,W,3,2,Levante,607,691,87.8,11352,3254,267,290,92.1,247,264,93.6,82,117,70.1,3,2.2,19,37,13,1,43
2019-09-18,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,fr Paris S-G,504,585,86.2,9902,2524,205,227,90.3,211,233,90.6,78,104,75.0,0,0.6,8,33,9,2,29
2019-09-22,21:00,La Liga,Matchweek 5,Sun,Away,W,1,0,Sevilla,402,503,79.9,7725,2415,174,199,87.4,156,176,88.6,61,103,59.2,1,0.9,6,36,11,1,31
2019-09-25,21:00,La Liga,Matchweek 6,Wed,Home,W,2,0,Osasuna,449,540,83.1,8793,2762,180,202,89.1,193,214,90.2,72,106,67.9,2,0.6,9,27,3,0,39
2019-09-28,21:00,La Liga,Matchweek 7,Sat,Away,D,0,0,Atlético Madrid,513,608,84.4,10085,2910,230,246,93.5,176,200,88.0,99,137,72.3,0,0.3,12,47,10,3,38
2019-10-01,18:55,Champions Lg,Group stage,Tue,Home,D,2,2,be Club Brugge,680,772,88.1,12847,4132,291,307,94.8,291,321,90.7,90,116,77.6,2,2.0,23,56,29,4,81
2019-10-05,16:00,La Liga,Matchweek 8,Sat,Home,W,4,2,Granada,446,526,84.8,8254,2633,202,220,91.8,176,195,90.3,61,94,64.9,4,2.1,14,23,6,2,23
2019-10-19,21:00,La Liga,Matchweek 9,Sat,Away,L,0,1,Mallorca,514,596,86.2,9548,3306,237,260,91.2,191,209,91.4,75,103,72.8,0,0.8,12,49,14,2,58
2019-10-22,22:00 (21:00),Champions Lg,Group stage,Tue,Away,W,1,0,tr Galatasaray,422,529,79.8,7523,2826,206,232,88.8,162,195,83.1,47,75,62.7,1,2.8,20,39,18,2,55
2019-10-30,21:15,La Liga,Matchweek 11,Wed,Home,W,5,0,Leganés,583,671,86.9,10775,3259,278,299,93.0,213,242,88.0,79,102,77.5,3,2.1,16,40,21,3,53
2019-11-02,21:00,La Liga,Matchweek 12,Sat,Home,D,0,0,Betis,554,650,85.2,11042,3041,236,265,89.1,213,237,89.9,97,127,76.4,0,1.7,16,50,12,3,45
2019-11-06,21:00,Champions Lg,Group stage,Wed,Home,W,6,0,tr Galatasaray,764,847,90.2,14224,3734,340,361,94.2,310,338,91.7,102,123,82.9,5,2.8,17,80,13,2,56
2019-11-09,18:30,La Liga,Matchweek 13,Sat,Away,W,4,0,Eibar,527,623,84.6,10471,3457,229,251,91.2,206,226,91.2,84,129,65.1,1,0.8,6,29,15,5,33
2019-11-23,21:00,La Liga,Matchweek 14,Sat,Home,W,3,1,Real Sociedad,507,598,84.8,9476,2957,249,271,91.9,175,199,87.9,79,108,73.1,3,1.2,16,34,14,4,38
2019-11-26,21:00,Champions Lg,Group stage,Tue,Home,D,2,2,fr Paris S-G,641,713,89.9,10663,3193,341,357,95.5,230,250,92.0,58,80,72.5,1,2.2,20,46,11,2,54
2019-11-30,13:00,La Liga,Matchweek 15,Sat,Away,W,2,1,Alavés,577,670,86.1,11088,3258,239,256,93.4,239,266,89.8,85,122,69.7,1,0.9,7,50,10,3,35
2019-12-07,13:00,La Liga,Matchweek 16,Sat,Home,W,2,0,Espanyol,473,582,81.3,8465,2637,214,244,87.7,198,218,90.8,51,97,52.6,2,1.7,15,40,8,1,45
2019-12-11,21:00,Champions Lg,Group stage,Wed,Away,W,3,1,be Club Brugge,558,654,85.3,10181,3018,257,275,93.5,206,235,87.7,80,114,70.2,3,0.9,9,24,6,1,24
2019-12-15,21:00,La Liga,Matchweek 17,Sun,Away,D,1,1,Valencia,652,733,88.9,11932,3291,317,343,92.4,234,252,92.9,88,118,74.6,0,0.9,15,57,13,5,44
2019-12-18,20:00,La Liga,Matchweek 10,Wed,Away,D,0,0,Barcelona,486,576,84.4,9088,2716,224,244,91.8,194,211,91.9,64,104,61.5,0,0.9,13,42,9,4,25
2019-12-22,21:00,La Liga,Matchweek 18,Sun,Home,D,0,0,Athletic Club,674,775,87.0,12592,3505,305,326,93.6,250,281,89.0,105,139,75.5,0,1.3,15,37,16,3,51
2020-01-04,16:00,La Liga,Matchweek 19,Sat,Away,W,3,0,Getafe,365,496,73.6,6991,2754,173,201,86.1,122,159,76.7,63,107,58.9,3,2.3,8,16,5,1,16
2020-01-08,20:00,Supercopa de España,Semi-finals,Wed,Away,W,3,1,Valencia,,,,,,,,,,,,,,,1,,,,,,
2020-01-12,21:00 (19:00),Supercopa de España,Final,Sun,Home,W,0 (4),0 (1),Atlético Madrid,,,,,,,,,,,,,,,0,,,,,,
2020-01-18,16:00,La Liga,Matchweek 20,Sat,Home,W,2,1,Sevilla,506,593,85.3,9105,2806,235,262,89.7,194,213,91.1,64,90,71.1,2,1.0,9,29,7,1,40
2020-01-22,21:00,Copa del Rey,Round of 32,Wed,Away,W,3,1,Unionistas Sal,,,,,,,,,,,,,,,1,,,,,,
2020-01-26,21:00,La Liga,Matchweek 21,Sun,Away,W,1,0,Valladolid,568,668,85.0,10044,2708,275,299,92.0,214,230,93.0,64,101,63.4,1,0.2,7,36,9,4,27
2020-01-29,21:00,Copa del Rey,Round of 16,Wed,Away,W,4,0,Zaragoza,,,,,,,,,,,,,,,4,,,,,,
2020-02-01,16:00,La Liga,Matchweek 22,Sat,Home,W,1,0,Atlético Madrid,615,710,86.6,12000,3238,257,282,91.1,248,267,92.9,97,132,73.5,1,1.1,14,46,9,1,51
2020-02-06,19:00,Copa del Rey,Quarter-finals,Thu,Home,L,3,4,Real Sociedad,,,,,,,,,,,,,,,3,,,,,,
2020-02-09,16:00,La Liga,Matchweek 23,Sun,Away,W,4,1,Osasuna,453,564,80.3,8933,2788,189,206,91.7,177,208,85.1,75,127,59.1,3,1.3,11,28,13,4,39
2020-02-16,21:00,La Liga,Matchweek 24,Sun,Home,D,2,2,Celta Vigo,613,723,84.8,11864,2973,285,309,92.2,215,249,86.3,105,138,76.1,1,0.7,12,62,24,5,59
2020-02-22,21:00,La Liga,Matchweek 25,Sat,Away,L,0,1,Levante,557,661,84.3,10549,3532,259,281,92.2,204,239,85.4,87,122,71.3,0,1.3,13,49,20,3,65
2020-02-26,21:00,Champions Lg,Round of 16,Wed,Home,L,1,2,eng Manchester City,502,582,86.3,9653,2683,211,229,92.1,198,217,91.2,83,116,71.6,1,0.9,6,21,11,4,23
2020-03-01,21:00,La Liga,Matchweek 26,Sun,Home,W,2,0,Barcelona,465,536,86.8,8390,2682,222,241,92.1,172,187,92.0,56,78,71.8,2,0.9,11,35,16,5,33
2020-03-08,21:00,La Liga,Matchweek 27,Sun,Away,L,1,2,Betis,487,609,80.0,9456,3006,208,234,88.9,184,224,82.1,84,125,67.2,0,0.6,10,26,16,5,38
2020-06-14,19:30,La Liga,Matchweek 28,Sun,Home,W,3,1,Eibar,523,623,83.9,10797,3033,187,206,90.8,254,274,92.7,78,125,62.4,1,1.2,4,29,7,1,25
2020-06-18,22:00,La Liga,Matchweek 29,Thu,Home,W,3,0,Valencia,667,746,89.4,12281,3363,348,371,93.8,216,235,91.9,98,128,76.6,3,1.5,17,67,17,3,56
2020-06-21,22:00,La Liga,Matchweek 30,Sun,Away,W,2,1,Real Sociedad,474,573,82.7,9391,2663,194,209,92.8,195,221,88.2,75,119,63.0,1,0.6,7,18,6,1,21
2020-06-24,22:00,La Liga,Matchweek 31,Wed,Home,W,2,0,Mallorca,481,538,89.4,9716,2821,196,204,96.1,192,206,93.2,88,112,78.6,1,1.3,12,24,9,1,33
2020-06-28,22:00,La Liga,Matchweek 32,Sun,Away,W,1,0,Espanyol,665,763,87.2,12879,3177,312,332,94.0,225,254,88.6,112,143,78.3,1,0.9,8,52,10,2,34
2020-07-02,22:00,La Liga,Matchweek 33,Thu,Home,W,1,0,Getafe,536,636,84.3,10258,3039,237,256,92.6,226,258,87.6,69,108,63.9,0,0.8,7,26,7,3,29
2020-07-05,14:00,La Liga,Matchweek 34,Sun,Away,W,1,0,Athletic Club,509,601,84.7,10232,3005,207,224,92.4,207,239,86.6,85,115,73.9,0,1.3,7,41,11,5,48
2020-07-10,22:00,La Liga,Matchweek 35,Fri,Home,W,2,0,Alavés,699,778,89.8,13273,3423,309,331,93.4,268,296,90.5,104,126,82.5,1,2.2,15,41,13,1,46
2020-07-13,22:00,La Liga,Matchweek 36,Mon,Away,W,2,1,Granada,524,595,88.1,9831,2895,216,229,94.3,221,236,93.6,71,107,66.4,2,0.5,9,30,6,1,28
2020-07-16,21:00,La Liga,Matchweek 37,Thu,Home,W,2,1,Villarreal,528,610,86.6,10700,2799,222,233,95.3,205,229,89.5,95,126,75.4,1,0.8,8,34,8,0,33
2020-07-19,21:00,La Liga,Matchweek 38,Sun,Away,D,2,2,Leganés,615,694,88.6,11550,2998,281,304,92.4,248,261,95.0,79,109,72.5,2,1.2,7,28,8,1,25
2020-08-07,20:00 (21:00),Champions Lg,Round of 16,Fri,Away,L,1,2,eng Manchester City,444,532,83.5,9147,2435,164,178,92.1,198,226,87.6,74,111,66.7,1,0.5,9,23,5,1,19
2018-04-19,19:45 (20:45),Premier League,Matchweek 31,Thu,Away,W,2,1,Burnley,534,631,84.6,10199,3325,196,217,90.3,264,289,91.3,66,104,63.5,1,1.2,14,36,16,4,46
2018-04-22,15:00 (16:00),FA Cup,Semi-finals,Sun,Home,W,2,0,Southampton,,,,,,,,,,,,,,,2,,,,,,
2018-04-28,17:30 (18:30),Premier League,Matchweek 36,Sat,Away,W,1,0,Swansea City,502,591,84.9,9544,2939,190,218,87.2,232,254,91.3,64,91,70.3,1,1.2,9,32,10,1,36
2018-05-06,16:30 (17:30),Premier League,Matchweek 37,Sun,Home,W,1,0,Liverpool,266,373,71.3,5179,2076,114,138,82.6,109,136,80.1,35,81,43.2,1,0.6,10,12,9,3,28
2018-05-09,19:45 (20:45),Premier League,Matchweek 35,Wed,Home,D,1,1,Huddersfield,718,855,84.0,14550,4605,236,275,85.8,343,384,89.3,126,158,79.7,0,1.4,18,99,32,4,99
2018-05-13,15:00 (16:00),Premier League,Matchweek 38,Sun,Away,L,0,3,Newcastle Utd,490,583,84.0,9460,2631,185,212,87.3,222,251,88.4,69,89,77.5,0,0.7,5,48,7,1,35
2018-05-19,17:15 (18:15),FA Cup,Final,Sat,Home,W,1,0,Manchester Utd,,,,,,,,,,,,,,,0,,,,,,
2019-05-09,20:00 (21:00),Europa Lg,Semi-finals,Thu,Home,W,1 (4),1 (3),de Eint Frankfurt,572,711,80.5,10564,3965,262,303,86.5,204,243,84.0,88,135,65.2,1,0.9,16,41,9,3,43
2019-05-12,15:00 (16:00),Premier League,Matchweek 38,Sun,Away,D,0,0,Leicester City,494,581,85.0,9171,2546,225,254,88.6,205,227,90.3,62,91,68.1,0,1.5,13,39,11,4,34
2019-05-29,23:00 (21:00),Europa Lg,Final,Wed,Home,W,4,1,eng Arsenal,394,464,84.9,6705,2409,203,215,94.4,130,151,86.1,45,74,60.8,3,1.3,14,22,15,2,32
