Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-10,17:30 (18:30),Premier League,Matchweek 1,Sat,Home,W,3,1,Aston Villa,552,639,86.4,10247,2726,230,244,94.3,247,271,91.1,61,96,63.5,2,1.4,19,52,19,3,56
2019-08-17,17:30 (18:30),Premier League,Matchweek 2,Sat,Away,D,2,2,Manchester City,427,515,82.9,8085,2154,155,175,88.6,229,244,93.9,42,81,51.9,2,0.3,2,9,2,0,10
2019-08-25,16:30 (17:30),Premier League,Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,718,818,87.8,13895,3270,281,303,92.7,327,364,89.8,105,133,78.9,0,0.7,14,68,12,3,55
2019-09-01,16:30 (17:30),Premier League,Matchweek 4,Sun,Away,D,2,2,Arsenal,308,401,76.8,6331,2390,120,137,87.6,140,163,85.9,45,87,51.7,0,0.6,8,12,8,0,29
2019-09-14,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,W,4,0,Crystal Palace,575,656,87.7,10737,3119,251,274,91.6,238,263,90.5,75,100,75.0,3,0.9,11,58,13,2,60
2019-09-18,19:55 (18:55),Champions Lg,Group stage,Wed,Away,D,2,2,gr Olympiacos,537,626,85.8,10285,2960,212,238,89.1,252,278,90.6,67,97,69.1,1,0.6,6,47,6,1,35
2019-09-21,12:30 (13:30),Premier League,Matchweek 6,Sat,Away,L,1,2,Leicester City,415,525,79.0,7331,2609,205,226,90.7,155,189,82.0,46,90,51.1,1,1.2,11,36,11,1,53
2019-09-24,19:45 (20:45),EFL Cup,Third round,Tue,Away,L,0 (3),0 (4),Colchester Utd,,,,,,,,,,,,,,,0,,,,,,
2019-09-28,15:00 (16:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,310,389,79.7,6137,2338,128,148,86.5,129,152,84.9,48,77,62.3,2,1.0,9,18,4,0,28
2019-10-01,20:00 (21:00),Champions Lg,Group stage,Tue,Home,L,2,7,de Bayern Munich,345,429,80.4,6771,1970,136,149,91.3,148,176,84.1,54,85,63.5,1,1.6,12,23,10,3,26
2019-10-05,12:30 (13:30),Premier League,Matchweek 8,Sat,Away,L,0,3,Brighton,470,577,81.5,9028,2268,189,217,87.1,207,240,86.3,67,104,64.4,0,0.6,6,28,4,0,19
2019-10-19,15:00 (16:00),Premier League,Matchweek 9,Sat,Home,D,1,1,Watford,608,720,84.4,12308,3287,215,240,89.6,288,318,90.6,97,138,70.3,0,0.5,9,53,13,3,49
2019-10-22,20:00 (21:00),Champions Lg,Group stage,Tue,Home,W,5,0,rs Red Star,579,655,88.4,11298,3317,219,234,93.6,274,298,91.9,77,102,75.5,5,2.8,18,33,17,6,56
2019-10-27,16:30 (17:30),Premier League,Matchweek 10,Sun,Away,L,1,2,Liverpool,223,332,67.2,4591,1861,75,101,74.3,108,132,81.8,37,85,43.5,0,0.9,9,17,4,1,18
2019-11-03,16:30 (17:30),Premier League,Matchweek 11,Sun,Away,D,1,1,Everton,372,474,78.5,7545,2443,142,180,78.9,160,173,92.5,64,108,59.3,1,0.5,4,16,1,1,24
2019-11-06,21:00,Champions Lg,Group stage,Wed,Away,W,4,0,rs Red Star,636,731,87.0,11857,3209,259,285,90.9,295,317,93.1,76,111,68.5,4,1.9,11,50,16,4,45
2019-11-09,15:00 (16:00),Premier League,Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,518,621,83.4,10020,2877,210,240,87.5,226,255,88.6,74,112,66.1,0,0.9,14,30,5,1,39
2019-11-23,12:30 (13:30),Premier League,Matchweek 13,Sat,Away,W,3,2,West Ham,385,484,79.5,7462,2528,145,166,87.3,181,201,90.0,54,101,53.5,3,1.3,11,30,5,3,33
2019-11-26,20:00 (21:00),Champions Lg,Group stage,Tue,Home,W,4,2,gr Olympiacos,464,557,83.3,8694,2576,184,200,92.0,221,253,87.4,54,91,59.3,4,1.7,10,26,9,3,33
2019-11-30,15:00 (16:00),Premier League,Matchweek 14,Sat,Home,W,3,2,Bournemouth,417,523,79.7,8558,2586,143,163,87.7,204,240,85.0,63,103,61.2,3,2.6,12,35,13,2,45
2019-12-04,19:30 (20:30),Premier League,Matchweek 15,Wed,Away,L,1,2,Manchester Utd,414,531,78.0,8533,2211,150,170,88.2,188,215,87.4,73,129,56.6,0,0.2,5,30,4,0,28
2019-12-07,15:00 (16:00),Premier League,Matchweek 16,Sat,Home,W,5,0,Burnley,377,476,79.2,7142,2134,155,172,90.1,173,196,88.3,46,96,47.9,5,1.5,10,18,5,1,22
2019-12-11,21:00,Champions Lg,Group stage,Wed,Away,L,1,3,de Bayern Munich,234,321,72.9,4370,1825,117,133,88.0,80,93,86.0,34,79,43.0,0,0.7,5,12,4,2,15
2019-12-15,14:00 (15:00),Premier League,Matchweek 17,Sun,Away,W,2,1,Wolves,292,407,71.7,5728,2322,116,138,84.1,129,165,78.2,41,88,46.6,2,0.9,9,21,8,0,33
2019-12-22,16:30 (17:30),Premier League,Matchweek 18,Sun,Home,L,0,2,Chelsea,387,505,76.6,7658,2157,147,167,88.0,178,216,82.4,53,97,54.6,0,0.3,4,20,9,1,28
2019-12-26,12:30 (13:30),Premier League,Matchweek 19,Thu,Home,W,2,1,Brighton,418,529,79.0,7747,2406,187,206,90.8,182,218,83.5,45,85,52.9,1,1.0,7,23,10,0,36
2019-12-28,17:30 (18:30),Premier League,Matchweek 20,Sat,Away,D,2,2,Norwich City,474,590,80.3,8919,2826,198,226,87.6,216,246,87.8,54,99,54.5,0,1.0,13,58,11,1,44
2020-01-01,15:00 (16:00),Premier League,Matchweek 21,Wed,Away,L,0,1,Southampton,390,525,74.3,7467,2206,162,195,83.1,168,203,82.8,54,116,46.6,0,0.1,3,27,5,3,35
2020-01-05,14:01 (15:01),FA Cup,Third round,Sun,Away,D,1,1,Middlesbrough,,,,,,,,,,,,,,,1,,,,,,
2020-01-11,17:30 (18:30),Premier League,Matchweek 22,Sat,Home,L,0,1,Liverpool,298,392,76.0,5566,1913,130,146,89.0,130,154,84.4,36,82,43.9,0,1.2,11,18,6,2,21
2020-01-14,20:05 (21:05),FA Cup,Third round,Tue,Home,W,2,1,Middlesbrough,,,,,,,,,,,,,,,0,,,,,,
2020-01-18,12:30 (13:30),Premier League,Matchweek 23,Sat,Away,D,0,0,Watford,421,510,82.5,8058,2493,191,210,91.0,161,184,87.5,64,103,62.1,0,1.2,14,37,16,1,44
2020-01-22,19:30 (20:30),Premier League,Matchweek 24,Wed,Home,W,2,1,Norwich City,427,533,80.1,8012,2766,205,230,89.1,152,180,84.4,61,95,64.2,1,1.2,11,38,12,3,37
2020-01-25,15:00 (16:00),FA Cup,Fourth round,Sat,Away,D,1,1,Southampton,,,,,,,,,,,,,,,1,,,,,,
2020-02-02,16:30 (17:30),Premier League,Matchweek 25,Sun,Home,W,2,0,Manchester City,264,360,73.3,5117,1501,109,125,87.2,117,138,84.8,32,81,39.5,2,0.3,3,21,5,0,21
2020-02-05,19:45 (20:45),FA Cup,Fourth round,Wed,Home,W,3,2,Southampton,,,,,,,,,,,,,,,1,,,,,,
2020-02-16,14:00 (15:00),Premier League,Matchweek 26,Sun,Away,W,3,2,Aston Villa,312,404,77.2,5831,2263,137,152,90.1,129,153,84.3,40,78,51.3,1,1.4,14,29,9,1,36
2020-02-19,20:00 (21:00),Champions Lg,Round of 16,Wed,Home,L,0,1,de RB Leipzig,364,458,79.5,7124,2365,146,164,89.0,167,194,86.1,43,84,51.2,0,0.6,6,21,7,3,21
2020-02-22,12:30 (13:30),Premier League,Matchweek 27,Sat,Away,L,1,2,Chelsea,488,602,81.1,8761,2749,228,256,89.1,190,227,83.7,56,84,66.7,0,0.4,4,26,2,1,25
2020-03-01,14:00 (15:00),Premier League,Matchweek 28,Sun,Home,L,2,3,Wolves,538,646,83.3,10577,3042,210,233,90.1,245,282,86.9,74,110,67.3,1,0.6,8,34,12,6,36
