labels,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013
Goals ,69,63,62,85,59,73,71,75
Goals per match ,1.82,1.66,1.63,2.24,1.55,1.92,1.87,1.97
Shots ,625,607,606,580,526,564,692,626
Shots on target ,223,198,220,204,173,210,229,212
Shooting accuracy % ,36,33,36,35,33,37,33,34
Penalties scored ,7,5,3,2,4,4,5,9
Big Chances Created ,74,81,60,48,47,66,50,56
Hit woodwork ,14,21,11,17,4,15,19,7
Passes ,23244,25070,21264,20125,19664,20268,18266,18432
Passes per match ,611.68,659.74,559.58,529.61,517.47,533.37,480.68,485.05
Pass accuracy % ,85,88,84,84,82,83,83,83
Crosses ,862,692,755,688,732,682,809,863
Cross accuracy % ,25,19,21,19,19,22,25,20
Clean sheets ,9,16,16,16,9,17,18,14
Goals Conceded ,54,39,38,33,53,32,27,39
Goals conceded per match ,1.42,1.03,1.00,0.87,1.39,0.84,0.71,1.03
Saves ,65,85,83,69,122,90,96,7
Tackles ,638,618,636,652,790,759,733,710
Tackle success % ,57,59,67,71,76,81,77,76
Blocked shots ,178,199,173,156,157,148,181,184
Interceptions ,459,351,423,510,518,376,380,504
Clearances ,586,593,768,839,790,1027,1141,981
Headed Clearance ,296,330,419,484,328,611,740,341
Aerial Battles/Duels Won ,2896,2548,2771,2682,2793,3075,3055,2469
Errors leading to goal ,3,3,5,5,9,3,4,3
Own goals ,3,0,2,1,2,1,2,2
Yellow cards ,60,49,42,72,58,73,57,51
Red cards ,0,0,4,0,5,4,3,3
Fouls ,220,169,195,198,238,217,129,0
Offsides ,63,83,108,64,90,75,106,80
