labels,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013
Goals ,85,89,84,78,63,52,101,71
Goals per match ,2.24,2.28,2.21,2.05,1.66,1.37,2.66,1.87
Shots ,591,575,638,640,629,590,651,739
Shots on target ,231,226,233,236,202,192,258,232
Shooting accuracy % ,39,39,37,37,32,33,40,31
Penalties scored ,5,7,2,7,2,5,10,5
Big Chances Created ,88,78,78,52,56,38,88,77
Hit woodwork ,17,19,16,18,16,12,27,19
Passes ,23872,23638,22962,22290,19733,19374,19599,19812
Passes per match ,628.21,606.10,604.26,586.58,519.29,509.84,515.76,521.37
Pass accuracy % ,84,84,84,82,80,83,84,84
Crosses ,896,721,764,812,780,638,643,794
Cross accuracy % ,20,24,22,22,23,23,21,19
Clean sheets ,15,21,17,12,11,14,10,16
Goals Conceded ,33,22,38,42,50,48,50,43
Goals conceded per match ,0.87,0.56,1.00,1.11,1.32,1.26,1.32,1.13
Saves ,76,76,67,73,81,93,107,2
Tackles ,550,610,637,719,871,798,848,795
Tackle success % ,59,61,71,71,78,77,76,78
Blocked shots ,164,141,176,191,206,165,130,211
Interceptions ,352,314,379,410,549,442,465,526
Clearances ,587,639,736,877,871,1175,1339,914
Headed Clearance ,259,317,362,437,342,628,745,231
Aerial Battles/Duels Won ,2553,2518,2565,2810,2891,2817,2858,2495
Errors leading to goal ,5,4,4,10,11,9,14,10
Own goals ,1,0,0,0,1,2,6,1
Yellow cards ,38,38,44,54,61,66,54,54
Red cards ,1,2,1,0,3,3,1,2
Fouls ,181,185,208,220,240,203,142,0
Offsides ,53,77,70,77,91,75,78,110
