labels,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013
Goals ,102,95,106,80,71,83,102,66
Goals per match ,2.68,2.50,2.79,2.11,1.87,2.18,2.68,1.74
Shots ,745,683,665,633,615,670,673,660
Shots on target ,266,260,265,216,210,229,238,231
Shooting accuracy % ,36,38,40,34,34,34,35,35
Penalties scored ,6,3,6,7,5,7,6,4
Big Chances Created ,108,101,95,77,55,66,86,84
Hit woodwork ,27,21,23,20,15,18,19,16
Passes ,26329,26581,28241,22706,20488,22107,20761,20061
Passes per match ,692.87,699.50,743.18,597.53,539.16,581.76,546.34,527.92
Pass accuracy % ,89,89,89,86,83,85,86,85
Crosses ,914,783,691,801,866,795,892,860
Cross accuracy % ,22,20,21,24,24,23,25,24
Clean sheets ,17,20,18,12,16,14,16,18
Goals Conceded ,35,23,27,39,41,38,37,34
Goals conceded per match ,0.92,0.61,0.71,1.03,1.08,1.00,0.97,0.89
Saves ,76,58,62,64,86,93,88,1
Tackles ,514,518,563,643,729,751,756,683
Tackle success % ,59,63,68,71,73,75,77,80
Blocked shots ,222,194,153,166,175,191,165,175
Interceptions ,352,362,346,504,630,569,496,492
Clearances ,476,543,588,905,940,872,938,1068
Headed Clearance ,241,295,308,529,466,498,530,285
Aerial Battles/Duels Won ,2328,2344,2460,2730,2751,2681,2562,2533
Errors leading to goal ,8,2,6,5,5,4,11,8
Own goals ,1,0,2,1,1,3,2,2
Yellow cards ,60,44,59,71,61,77,72,62
Red cards ,4,1,2,4,0,2,1,3
Fouls ,202,193,209,228,231,265,150,0
Offsides ,69,98,67,89,63,78,59,75
