labels,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013
Goals ,66,65,68,54,49,62,64,86
Goals per match ,1.74,1.67,1.79,1.42,1.29,1.63,1.68,2.26
Shots ,544,526,512,591,430,512,526,561
Shots on target ,216,225,178,210,144,180,183,213
Shooting accuracy % ,40,43,35,36,33,35,35,38
Penalties scored ,10,9,1,3,3,3,5,4
Big Chances Created ,55,65,60,62,44,54,53,89
Hit woodwork ,15,9,16,19,9,11,16,24
Passes ,20059,19202,20064,20245,20070,21311,18894,19696
Passes per match ,527.87,492.36,528.00,532.76,528.16,560.82,497.21,518.32
Pass accuracy % ,84,82,84,84,82,85,84,86
Crosses ,635,638,753,848,786,908,1000,962
Cross accuracy % ,20,20,20,24,19,22,21,22
Clean sheets ,13,7,19,17,18,11,13,13
Goals Conceded ,36,54,28,29,35,37,43,43
Goals conceded per match ,0.95,1.38,0.74,0.76,0.92,0.97,1.13,1.13
Saves ,96,122,118,85,90,100,103,1
Tackles ,580,581,564,690,760,739,676,731
Tackle success % ,57,60,65,71,76,74,75,77
Blocked shots ,128,130,168,154,137,144,130,127
Interceptions ,379,355,481,584,594,679,595,514
Clearances ,627,785,853,1112,755,1118,1382,1319
Headed Clearance ,327,370,436,572,321,638,856,473
Aerial Battles/Duels Won ,2582,2683,2699,2766,2482,2689,2597,2477
Errors leading to goal ,7,8,4,3,2,3,7,7
Own goals ,1,3,2,1,2,1,1,4
Yellow cards ,73,73,64,78,65,64,66,57
Red cards ,0,4,1,2,1,5,3,1
Fouls ,243,221,237,268,261,241,130,0
Offsides ,56,90,88,99,75,87,97,96
