matchday,Rest_Days,home_0_away_1,Elo_Opponent,Elo_Liverpool,Elo_Diff,points_won,Shots,Shots On Target,Passes,Possession
1,6,1,1675,1742.60021973,67.60021972999994,0,16,2,378,62
2,3,0,1918,1729.25158691,-188.74841309,1,14,4,268,44
3,3,0,1818,1733.52380371,-84.47619628999995,0,17,5,439,56
4,13,1,1676,1722.60900879,46.60900878999996,1,23,6,525,65
5,3,0,1914,1732.29528809,-181.70471191,0,12,5,299,54
7,3,0,1675,1727.60327148,52.6032714800001,1,17,3,468,67
9,3,1,1781,1725.39208984,-55.607910160000074,1,12,3,144,43
10,4,0,1749,1728.54016113,-20.459838870000116,1,21,6,414,66
11,3,1,1868,1721.96008301,-146.03991698999994,1,9,2,318,50
13,3,1,1647,1719.41076659999,72.41076659998998,1,21,10,416,55
14,3,1,1752,1718.91088867,-33.08911132999992,0,15,5,472,61
17,6,0,1619,1726.65087891,107.65087891000007,0,28,11,467,73
19,4,1,1679,1720.85742188,41.857421879999954,0,15,4,334,59
22,7,1,1904,1727.54980469,-176.45019531000003,0,12,3,409,55
24,3,1,1789,1734.50634766,-54.49365233999993,1,11,6,286,39
25,4,1,1878,1737.39440918,-140.6055908200001,1,18,6,347,53
26,8,0,1652,1742.52172852,90.52172851999991,0,25,7,427,58
30,6,1,1599,1763.78649902,164.78649902000006,0,8,6,348,55
32,7,0,1632,1754.06286621,122.06286621000004,1,19,12,388,55
33,6,1,1558,1749.46081543,191.4608154299999,1,26,15,395,67
34,8,0,1841,1745.87280273,-95.12719726999991,1,23,12,328,55
36,8,0,1782,1767.93225098,-14.067749020000065,1,16,8,255,44
4,15,1,1682,1808.89794922,126.8979492200001,1,12,5,339,53
5,5,0,1644,1816.47729492,172.47729492000008,0,10,5,316,49
8,14,1,1683,1817.27978516,134.27978516000007,1,23,7,508,60
10,7,1,1891,1824.29650879,-66.70349121000004,0,12,4,338,45
12,14,1,1821,1828.15441895,7.154418950000036,1,11,5,218,46
13,8,1,1554,1827.79821777,273.79821777000006,0,9,4,369,57
18,5,1,1937,1843.27062988,-93.72937012000013,0,12,5,371,46
19,3,1,1903,1838.90478516,-64.09521483999994,0,8,4,290,54
22,6,0,1661,1844.06652832,183.0665283200001,1,14,6,363,60
24,5,1,1667,1851.01940918,184.0194091799999,1,12,3,365,60
36,7,0,1928,1917.3046875,-10.6953125,0,26,8,540,72
37,8,1,1618,1900.50878906,282.50878906,1,26,9,556,61
2,8,1,1954,1897.79125977,-56.2087402300001,0,11,3,446,46
4,13,0,1630,1902.55236816,272.55236816,0,18,1,618,65
5,4,1,1648,1883.68005371,235.68005371000004,0,11,5,393,57
6,7,0,1804,1866.01416016,62.014160160000074,1,24,8,365,46
9,3,0,1578,1843.09118652,265.09118652000006,1,18,4,441,62
10,4,1,1634,1835.81103516,201.81103516000007,0,6,3,483,60
11,4,0,1921,1815.82714844,-105.17285156000004,0,12,4,432,54
12,15,1,1589,1809.1505127,220.15051270000004,0,12,1,469,58
15,4,0,1647,1810.6114502,163.61145020000004,1,15,2,375,54
16,5,1,1842,1797.86706543,-44.132934570000096,0,19,8,349,48
17,4,0,1847,1788.74633789,-58.25366211000005,1,27,10,518,56
20,3,0,1591,1800.46789551,209.46789551000006,1,18,6,362,51
24,3,1,1746,1812.40515137,66.4051513700001,1,17,6,452,54
30,6,0,1831,1821.62683105,-9.373168950000037,0,7,1,295,43
31,13,1,1854,1812.62329102,-41.3767089800001,0,13,2,389,50
33,6,1,1601,1807.02526855,206.02526855,1,22,5,566,67
34,3,1,1571,1802.78833008,231.78833007999992,0,12,9,513,63
36,8,1,1922,1792.27502441,-129.72497559,1,15,4,391,52
37,6,0,1624,1797.00012207,173.0001220700001,0,18,3,480,60
38,8,1,1682,1777.94396973,95.94396972999995,0,13,4,398,53
3,7,1,1832,1761.30505371,-70.69494628999995,1,15,8,253,42
4,5,0,1594,1761.35168457,167.3516845700001,0,13,1,442,58
5,14,1,1805,1738.29748535,-66.70251465000001,0,8,4,333,45
6,3,0,1602,1722.66650391,120.66650391000007,1,22,7,469,56
8,3,1,1718,1711.17614746,-6.823852539999963,1,13,4,303,51
