matchday,Rest_Days,home_0_away_1,Elo_Opponent,Elo_Liverpool,Elo_Diff,points_won,Shots,Shots On Target,Passes,Possession
9,13,1,1737,1712.54797363,-24.45202637000011,1,12,3,317,52
10,3,0,1692,1711.80065918,19.800659179999908,1,15,2,483,57
12,3,0,1657,1741.79821777,84.79821777000006,0,22,4,389,58
15,4,1,1559,1761.55578613,202.55578612999992,0,10,1,438,57
16,3,0,1650,1747.46520996,97.46520996000004,1,28,8,523,63
17,7,1,1633,1743.63769531,110.63769531000004,0,12,4,376,60
20,3,1,1664,1738.77990723,74.77990722999994,0,23,1,383,59
21,5,0,1847,1726.44458008,-120.55541992000008,1,22,6,416,57
22,4,0,1779,1728.23327637,-50.766723629999895,0,19,4,363,52
24,3,1,1740,1726.37377929999,-13.62622070000998,0,14,2,431,58
25,4,0,1584,1717.47705078,133.4770507799999,1,16,5,568,65
29,3,1,1722,1774.93945312,52.939453120000046,0,18,9,363,49
30,13,0,1814,1766.79980469,-47.20019531000002,1,15,7,240,45
34,3,0,1589,1814.88342285,225.88342285,1,13,4,492,60
35,3,1,1648,1802.88464355,154.88464354999996,0,11,3,433,51
37,3,0,1796,1821.60974121,25.60974121000004,1,28,8,477,54
38,4,1,1646,1819.49597168,173.4959716799999,1,7,3,500,61
2,6,1,1631,1813.15234375,182.15234375,0,26,5,734,74
3,4,1,1801,1790.23718262,-10.762817379999886,1,13,3,314,48
8,16,0,1784,1827.85656738,43.856567379999895,1,9,3,468,62
12,13,1,1755,1839.4621582000002,84.46215819999998,1,15,3,529,61
14,5,1,1623,1838.36340332,215.3634033200001,0,10,3,460,57
15,7,0,1646,1824.71105957,178.7110595700001,1,18,3,500,63
20,2,1,1599,1844.82714844,245.82714844,1,21,15,600,64
21,4,1,1814,1839.94555664,25.945556639999946,1,13,4,269,46
22,3,0,1597,1841.03796387,244.03796387000008,0,16,5,652,68
23,3,0,1876,1826.1986084000002,-49.80139159999999,1,7,3,487,59
24,4,1,1561,1825.65844727,264.6584472699999,0,22,5,501,66
26,16,1,1669,1813.77148438,144.77148437999998,0,17,7,503,65
29,7,1,1837,1814.47534179999,-22.52465820000998,1,13,4,286,42
31,4,0,1622,1823.95202637,201.95202637000008,1,20,8,465,61
34,7,0,1641,1830.2598877,189.25988770000004,0,14,1,497,69
36,6,0,1694,1822.80273438,128.80273437999998,1,17,8,475,67
1,7,1,1602,1835.66101074,233.66101073999997,1,14,5,370,52
4,13,1,1874,1863.06335449,-10.936645510000062,0,7,3,317,38
5,3,0,1654,1849.14086914,195.14086913999995,1,35,9,616,65
7,5,1,1647,1854.91076659999,207.91076659999,1,17,2,553,65
8,13,0,1917,1850.99987793,-66.00012207000009,1,19,5,540,59
9,5,1,1927,1858.93884277,-68.06115722999994,0,12,7,563,60
13,4,0,1919,1856.26062012,-62.739379879999895,1,16,4,535,55
16,4,0,1684,1881.17480469,197.17480469,1,23,3,674,79
17,3,0,1624,1874.81555176,250.81555176000006,1,13,4,642,64
19,5,1,1840,1875.73974609,35.739746089999926,1,14,9,351,49
24,8,1,1613,1897.25512695,284.25512695,0,21,4,683,70
26,5,0,1919,1887.24829102,-31.751708980000107,1,9,3,210,40
30,4,1,1904,1914.3260498,10.326049799999963,0,14,2,513,62
33,3,1,1693,1929.28918457,236.2891845700001,1,10,3,486,61
35,7,1,1595,1937.2442627,342.2442627000001,1,9,3,498,60
36,4,0,1620,1942.36901855,322.36901855,1,20,2,542,70
37,4,1,1856,1929.0949707000002,73.09497069999998,0,10,5,711,63
7,3,1,1855,1941.79602051,86.79602051000006,1,13,6,553,54
8,4,0,1963,1929.03295898,-33.9670410199999,1,7,2,467,51
11,7,1,1845,1935.45996094,90.45996093999996,1,13,4,300,41
21,5,1,1963,1952.49291992,-10.507080079999923,0,7,5,499,48
24,11,0,1683,1950.35314941,267.35314941,1,10,3,729,67
25,5,1,1663,1943.01025391,280.0102539100001,1,11,6,618,65
27,5,1,1861,1940.45117188,79.45117187999995,1,7,1,505,62
29,4,1,1679,1943.95910645,264.95910645000004,1,10,3,387,53
9,15,1,1810,2043.49182129,233.49182129,1,10,4,554,62
28,5,1,1662,2075.89550781,413.89550780999986,0,7,1,596,64
30,102,1,1733,2020.29455566,287.29455566,1,10,3,639,70
32,8,1,1970,2017.88659668,47.886596679999904,0,11,3,469,49
35,3,0,1725,2005.79724121,280.79724121000004,1,23,9,600,66
36,4,1,1800,1998.45800781,198.45800781000003,0,24,8,558,64
