season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht,matchday,points_won,home_0_away_1
2015 - 2016,English Premier League,2015-10-17,Tottenham Hotspur,Liverpool,False,0,0,4-2-3-1,12,3,4,0,0,9,11,5,6,2,0,726,317,N,18,5,0,43,52%,1712.54797363,1737,-24.45202637000011,13,0,0,0,0,N,N,9,1,1
2015 - 2016,English Premier League,2015-10-25,Liverpool,FC Southampton,True,1,1,4-2-3-1,15,2,2,0,0,15,8,4,10,1,0,801,483,N,8,10,1,23,57%,1711.80065918,1692,19.800659179999908,3,1,0,1,0,N,N,10,1,0
2015 - 2016,English Premier League,2015-10-31,Chelsea,Liverpool,False,3,3,4-2-3-1,16,7,1,0,0,12,21,2,7,4,0,736,437,V,7,6,0,31,54%,1710.0501709000002,1804,-93.9498291,3,3,1,1,1,V,N,11,3,1
2015 - 2016,English Premier League,2015-11-08,Liverpool,Crystal Palace FC,True,1,1,4-2-3-1,22,4,2,0,0,27,7,1,14,1,0,698,389,D,1,2,0,25,58%,1741.79821777,1657,84.79821777000006,3,1,1,2,1,D,N,12,0,0
2015 - 2016,English Premier League,2015-11-21,Manchester City,Liverpool,False,4,2,4-2-3-1,14,9,2,0,0,13,13,5,5,3,0,610,256,V,5,5,0,62,45%,1730.27685547,1889,-158.7231445299999,13,4,3,1,1,V,V,13,3,1
2015 - 2016,English Premier League,2015-11-29,Liverpool,Swansea City,True,1,0,4-2-3-1,10,2,0,1,1,22,12,0,8,3,0,744,445,V,1,7,0,30,53%,1757.18371582,1646,111.18371582000007,3,1,0,0,0,V,N,14,3,0
2015 - 2016,English Premier League,2015-12-06,Newcastle United FC,Liverpool,False,0,0,4-2-3-1,10,1,0,0,0,34,10,2,7,1,0,799,438,D,14,5,0,37,57%,1761.55578613,1559,202.55578612999992,4,0,0,2,0,D,N,15,0,1
2015 - 2016,English Premier League,2015-12-13,Liverpool,West Bromwich Albion FC,True,2,2,4-3-3,28,8,0,0,0,30,7,1,4,0,0,838,523,N,2,3,0,21,63%,1747.46520996,1650,97.46520996000004,3,2,1,2,1,N,N,16,1,0
2015 - 2016,English Premier League,2015-12-20,Watford,Liverpool,False,0,0,4-3-2-1,12,4,2,0,0,20,9,10,9,0,0,739,376,D,7,3,0,29,60%,1743.63769531,1633,110.63769531000004,7,0,0,3,2,D,D,17,0,1
2015 - 2016,English Premier League,2015-12-26,Liverpool,Leicester City,True,1,1,4-4-2,25,4,3,0,0,23,11,5,7,2,0,785,399,V,5,6,0,25,61%,1726.46533203,1730,-3.5346679700001005,6,1,0,0,0,V,N,18,3,0
2015 - 2016,English Premier League,2015-12-30,AFC Sunderland,Liverpool,False,1,1,4-2-3-1,17,6,3,0,0,14,16,0,4,3,0,693,338,V,2,8,1,28,55%,1733.32971191,1574,159.32971191,4,1,0,0,0,V,N,19,3,1
2015 - 2016,English Premier League,2016-01-02,West Ham United,Liverpool,False,0,0,4-4-2,23,1,8,0,0,34,8,3,9,1,0,745,383,D,17,5,5,26,59%,1738.77990723,1664,74.77990722999994,3,0,0,2,1,D,D,20,0,1
2015 - 2016,English Premier League,2016-01-13,Liverpool,Arsenal FC,True,3,2,4-2-3-1,22,6,1,0,0,24,9,4,9,2,0,763,416,N,4,5,0,28,57%,1726.44458008,1847,-120.55541992000008,5,3,2,3,2,N,N,21,1,0
2015 - 2016,English Premier League,2016-01-17,Liverpool,Manchester United,True,0,0,4-3-3,19,4,0,0,0,20,6,3,5,0,0,721,363,D,7,7,0,37,52%,1728.23327637,1779,-50.766723629999895,4,0,0,1,0,D,N,22,0,0
2015 - 2016,English Premier League,2016-01-23,Norwich City,Liverpool,False,5,3,4-3-2-1,13,7,1,0,0,24,14,4,3,1,0,707,334,V,13,10,1,23,54,1719.88439941,1603,116.88439941,3,5,1,4,2,V,D,23,3,1
2015 - 2016,English Premier League,2016-02-02,Leicester City,Liverpool,False,0,0,4-3-3,14,2,4,0,0,27,7,2,12,1,0,804,431,D,6,5,1,33,58%,1726.37377929999,1740,-13.62622070000998,3,0,0,2,0,D,N,24,0,1
2015 - 2016,English Premier League,2016-02-06,Liverpool,AFC Sunderland,True,2,2,4-3-3,16,5,0,0,0,27,4,3,7,1,0,885,568,N,2,4,0,14,65%,1717.47705078,1584,133.4770507799999,4,2,0,2,0,N,N,25,1,0
2015 - 2016,English Premier League,2016-02-14,Aston Villa,Liverpool,False,6,4,4-4-2,11,9,1,0,0,24,9,1,6,1,0,814,538,V,10,1,0,39,57%,1712.5546875,1554,158.5546875,5,6,2,0,0,V,V,26,3,1
2015 - 2016,English Premier League,2016-03-02,Liverpool,Manchester City,True,3,3,4-2-3-1,11,7,1,0,0,18,14,4,3,0,0,684,353,V,11,1,1,32,50%,1744.19763184,1859,-114.80236816,6,3,2,0,0,V,V,27,3,0
2015 - 2016,English Premier League,2016-03-06,Crystal Palace FC,Liverpool,False,2,0,4-2-3-1,19,5,3,1,1,25,16,2,6,2,1,811,466,V,13,10,1,36,59%,1760.83825684,1639,121.83825684,4,2,0,1,0,V,N,28,3,1
2015 - 2016,English Premier League,2016-03-20,FC Southampton,Liverpool,False,2,2,4-4-2,18,9,2,0,0,19,13,2,5,3,0,650,363,D,2,7,0,27,49%,1774.93945312,1722,52.939453120000046,3,2,2,3,0,D,V,29,0,1
2015 - 2016,English Premier League,2016-04-02,Liverpool,Tottenham Hotspur,True,1,1,4-2-3-1,15,7,4,0,0,19,11,0,12,2,0,615,240,N,10,9,0,48,45%,1766.79980469,1814,-47.20019531000002,13,1,0,1,0,N,N,30,1,0
2015 - 2016,English Premier League,2016-04-10,Liverpool,Stoke City FC,True,4,4,4-3-3,14,6,2,0,0,23,14,1,6,0,0,684,394,V,7,3,0,39,52%,1773.91552734,1704,69.91552733999994,3,4,2,1,1,V,V,31,3,0
2015 - 2016,English Premier League,2016-04-17,AFC Bournemouth,Liverpool,False,2,1,4-2-3-1,19,6,3,0,0,19,9,3,4,0,0,749,395,V,27,15,1,28,51%,1800.55432129,1644,156.55432128999996,3,2,2,1,0,V,V,32,3,1
2015 - 2016,English Premier League,2016-04-20,Liverpool,Everton FC,True,4,4,4-2-3-1,37,13,0,0,0,49,8,2,9,1,0,833,522,V,21,4,0,26,61%,1805.76208496,1712,93.76208496000004,3,4,2,0,0,V,V,33,3,0
2015 - 2016,English Premier League,2016-04-23,Liverpool,Newcastle United FC,True,2,2,4-3-3,13,4,1,0,0,32,8,3,5,1,0,856,492,N,22,3,1,18,60%,1814.88342285,1589,225.88342285,3,2,2,2,0,N,V,34,1,0
2015 - 2016,English Premier League,2016-05-01,Swansea City,Liverpool,False,1,1,4-2-3-1,11,3,6,0,0,16,13,0,7,2,1,721,433,D,12,8,2,34,51%,1802.88464355,1648,154.88464354999996,3,1,0,3,2,D,D,35,0,1
2015 - 2016,English Premier League,2016-05-08,Liverpool,Watford,True,2,2,4-3-3,19,5,3,0,0,23,10,2,8,1,0,756,460,V,17,5,0,30,62%,1817.20996094,1645,172.20996093999997,3,2,1,0,0,V,V,36,3,0
2015 - 2016,English Premier League,2016-05-11,Liverpool,Chelsea,True,1,0,4-2-3-1,28,8,6,0,0,29,11,1,7,3,0,780,477,N,24,5,1,34,54%,1821.60974121,1796,25.60974121000004,3,1,0,1,1,N,D,37,1,0
2015 - 2016,English Premier League,2016-05-15,West Bromwich Albion FC,Liverpool,False,1,1,4-3-3,7,3,0,0,0,14,14,0,5,1,0,829,500,N,11,6,0,34,61%,1819.49597168,1646,173.4959716799999,4,1,1,1,1,N,N,38,1,1
