matchday,Rest_Days,home_0_away_1,Elo_Opponent,Elo_Liverpool,Elo_Diff,points_won,Shots,Shots On Target,Passes,Possession
1,6,1,1675,1742.60021973,67.60021972999994,0,16,2,378,62
2,3,0,1918,1729.25158691,-188.74841309,1,14,4,268,44
3,3,0,1818,1733.52380371,-84.47619628999995,0,17,5,439,56
4,13,1,1676,1722.60900879,46.60900878999996,1,23,6,525,65
5,3,0,1914,1732.29528809,-181.70471191,0,12,5,299,54
6,3,1,1615,1727.04785156,112.04785156000004,3,15,5,587,67
7,3,0,1675,1727.60327148,52.6032714800001,1,17,3,468,67
8,13,0,1617,1724.62756348,107.62756347999995,3,26,8,308,60
9,3,1,1781,1725.39208984,-55.607910160000074,1,12,3,144,43
10,4,0,1749,1728.54016113,-20.459838870000116,1,21,6,414,66
11,3,1,1868,1721.96008301,-146.03991698999994,1,9,2,318,50
12,6,0,1648,1727.2890625,79.2890625,3,23,7,343,51
13,3,1,1647,1719.41076659999,72.41076659998998,1,21,10,416,55
14,3,1,1752,1718.91088867,-33.08911132999992,0,15,5,472,61
15,3,0,1557,1713.06506348,156.06506347999994,3,24,8,470,58
16,3,1,1653,1718.91943359,65.91943358999994,3,14,5,396,58
17,6,0,1619,1726.65087891,107.65087891000007,0,28,11,467,73
18,7,0,1667,1709.44140625,42.44140625,3,20,8,436,58
19,4,1,1679,1720.85742188,41.857421879999954,0,15,4,334,59
20,4,1,1542,1709.71435547,167.7143554700001,3,18,8,490,61
21,3,0,1648,1718.72534179999,70.72534179999002,3,27,12,491,60
22,7,1,1904,1727.54980469,-176.45019531000003,0,12,3,409,55
23,6,0,1622,1724.49072266,102.49072266000007,3,18,10,582,64
24,3,1,1789,1734.50634766,-54.49365233999993,1,11,6,286,39
25,4,1,1878,1737.39440918,-140.6055908200001,1,18,6,347,53
26,8,0,1652,1742.52172852,90.52172851999991,0,25,7,427,58
27,3,0,1680,1717.7947998,37.794799799999964,3,33,18,390,55
28,9,1,1622,1738.38793945,116.38793944999998,3,8,7,304,41
29,8,0,1820,1749.65100098,-70.34899902000006,3,11,5,215,41
30,6,1,1599,1763.78649902,164.78649902000006,0,8,6,348,55
31,15,1,1618,1748.75964355,130.75964354999996,3,17,13,438,55
32,7,0,1632,1754.06286621,122.06286621000004,1,19,12,388,55
33,6,1,1558,1749.46081543,191.4608154299999,1,26,15,395,67
34,8,0,1841,1745.87280273,-95.12719726999991,1,23,12,328,55
35,6,1,1671,1748.60168457,77.60168457000009,3,11,10,402,48
36,8,0,1782,1767.93225098,-14.067749020000065,1,16,8,255,44
37,7,1,1646,1766.53271484,120.53271483999993,3,19,13,475,53
38,7,0,1554,1778.16760254,224.16760254,3,27,20,514,69
1,7,0,1643,1783.17736816,140.17736816,3,26,12,389,53
2,7,1,1676,1792.51159668,116.51159667999993,3,5,1,340,52
3,5,0,1919,1799.17834473,-119.82165527000005,3,9,5,206,40
4,15,1,1682,1808.89794922,126.8979492200001,1,12,5,339,53
5,5,0,1644,1816.47729492,172.47729492000008,0,10,5,316,49
