matchday,Rest_Days,home_0_away_1,Elo_Opponent,Elo_Liverpool,Elo_Diff,points_won,Shots,Shots On Target,Passes,Possession
6,3,1,1615,1727.04785156,112.04785156000004,3,15,5,587,67
8,13,0,1617,1724.62756348,107.62756347999995,3,26,8,308,60
12,6,0,1648,1727.2890625,79.2890625,3,23,7,343,51
15,3,0,1557,1713.06506348,156.06506347999994,3,24,8,470,58
16,3,1,1653,1718.91943359,65.91943358999994,3,14,5,396,58
18,7,0,1667,1709.44140625,42.44140625,3,20,8,436,58
20,4,1,1542,1709.71435547,167.7143554700001,3,18,8,490,61
21,3,0,1648,1718.72534179999,70.72534179999002,3,27,12,491,60
23,6,0,1622,1724.49072266,102.49072266000007,3,18,10,582,64
27,3,0,1680,1717.7947998,37.794799799999964,3,33,18,390,55
28,9,1,1622,1738.38793945,116.38793944999998,3,8,7,304,41
29,8,0,1820,1749.65100098,-70.34899902000006,3,11,5,215,41
31,15,1,1618,1748.75964355,130.75964354999996,3,17,13,438,55
35,6,1,1671,1748.60168457,77.60168457000009,3,11,10,402,48
37,7,1,1646,1766.53271484,120.53271483999993,3,19,13,475,53
38,7,0,1554,1778.16760254,224.16760254,3,27,20,514,69
1,7,0,1643,1783.17736816,140.17736816,3,26,12,389,53
2,7,1,1676,1792.51159668,116.51159667999993,3,5,1,340,52
3,5,0,1919,1799.17834473,-119.82165527000005,3,9,5,206,40
6,4,1,1619,1802.70678711,183.70678711000005,3,15,6,345,54
7,6,0,1525,1814.97290039,289.97290038999995,3,13,7,574,61
9,7,0,1700,1817.47644043,117.47644042999993,3,18,7,361,57
11,7,0,1668,1821.69433594,153.69433593999997,3,32,10,675,63
14,3,0,1659,1809.20410156,150.20410156000003,3,28,12,503,64
15,3,0,1668,1815.63427734,147.6342773399999,3,32,9,485,64
16,8,1,1839,1817.47326659999,-21.526733400010013,3,20,10,377,52
17,6,0,1606,1840.26171875,234.26171875,3,27,7,494,63
20,3,0,1596,1833.89685059,237.89685059,3,17,6,370,60
21,7,1,1661,1836.92443848,175.92443847999994,3,13,9,285,54
23,3,0,1834,1838.14233398,4.142333980000103,3,20,9,279,47
25,6,0,1901,1847.75195312,-53.248046879999954,3,22,12,243,42
26,4,1,1600,1862.87463379,262.87463379,3,21,7,573,66
27,7,0,1673,1859.81054688,186.81054687999998,3,21,10,410,61
28,6,1,1694,1858.43078613,164.43078612999992,3,12,5,318,50
29,15,1,1868,1862.94372559,-5.056274410000015,3,17,7,247,51
30,6,1,1555,1887.50073242,332.50073242000013,3,19,9,433,63
31,4,0,1622,1891.61303711,269.61303711000005,3,21,7,322,56
32,4,0,1807,1893.29431152,86.29431152000005,3,11,5,425,56
33,7,1,1674,1899.0135498,225.0135498,3,17,8,446,59
34,7,0,1954,1906.79272461,-47.20727538999995,3,10,4,336,44
35,7,1,1608,1914.29016113,306.2901611299999,3,14,6,483,70
38,6,0,1650,1894.61633301,244.61633301000006,3,13,5,596,64
1,7,0,1717,1897.86303711,180.86303711000005,3,12,5,452,58
3,6,1,1807,1890.76953125,83.76953125,3,17,8,243,39
7,3,0,1632,1847.27001953,215.27001952999993,3,19,7,223,42
8,15,1,1547,1849.68725586,302.68725586000005,3,15,5,376,52
13,3,0,1673,1800.33056641,127.33056641000007,3,16,3,369,45
14,3,1,1610,1804.09375,194.09375,3,11,3,352,52
18,5,1,1586,1788.64733887,202.64733887000008,3,10,3,395,55
19,3,0,1687,1793.18505859,106.18505858999993,3,21,11,405,47
21,5,1,1642,1794.05615234,152.0561523399999,3,21,4,430,55
22,7,1,1607,1799.59545898,192.59545898000007,3,12,5,374,56
23,4,0,1707,1806.31896973,99.31896972999995,3,21,7,435,61
25,3,0,1791,1812.03479004,21.03479003999996,3,16,7,294,49
26,3,1,1774,1824.15197754,50.15197753999996,3,6,4,272,44
27,7,0,1911,1810.90100098,-100.09899902000005,3,11,5,366,49
28,3,0,1569,1820.05700684,251.05700684,3,20,8,554,60
29,8,1,1666,1820.18725586,154.18725586000005,3,16,5,478,52
32,5,0,1621,1802.78552246,181.78552246000004,3,14,6,427,57
35,4,0,1550,1790.08776855,240.08776855,3,25,8,348,58
1,7,1,1696,1750.2767334000002,54.27673340000001,3,8,3,382,53
2,8,0,1582,1758.22253418,176.2225341799999,3,18,2,405,55
7,6,0,1551,1718.27893066,167.27893066,3,21,12,489,58
